,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-25321.1,6.70111,82.5433,-25450.5,-25321.7,-25185.8,151.729,0.883499,1.01559
mu_skill[1],-0.244559,0.0342588,0.985361,-1.82782,-0.271963,1.36272,827.267,4.81706,0.997877
mu_skill[2],-1.27509,0.0173048,0.201656,-1.61656,-1.2756,-0.963756,135.797,0.790728,1.01528
mu_skill[3],-2.09348,0.0377133,0.383712,-2.78597,-2.06486,-1.52371,103.519,0.602779,1.01048
mu_skill[4],-1.45686,0.0180245,0.209245,-1.82824,-1.43878,-1.14273,134.767,0.784726,1.01133
mu_skill[5],-1.38334,0.0233513,0.350339,-1.98922,-1.34638,-0.837838,225.09,1.31067,1.00244
mu_skill[6],-0.337714,0.0349676,0.807657,-1.65357,-0.374622,0.877531,533.484,3.1064,1.00194
mu_skill[7],-0.447029,0.0268464,0.941504,-2.03827,-0.425462,1.0737,1229.91,7.16158,0.998187
mu_skill[8],-0.0128755,0.0308116,0.976353,-1.54631,-0.0164386,1.61306,1004.12,5.84684,0.998302
mu_skill[9],-0.171497,0.0329051,1.01506,-1.80389,-0.149039,1.42397,951.6,5.54103,0.997044
sigma_skill[1],1.01984,0.0452792,1.05281,0.0551906,0.712928,2.9554,540.633,3.14803,1.00023
sigma_skill[2],1.3034,0.0147823,0.165758,1.0492,1.28972,1.59502,125.737,0.732149,1.01695
sigma_skill[3],1.59245,0.034122,0.361892,1.0699,1.55498,2.23163,112.484,0.654976,1.00096
sigma_skill[4],0.677222,0.0314466,0.243543,0.274032,0.670846,1.0836,59.9799,0.349254,1.04171
sigma_skill[5],1.79734,0.038555,0.484309,1.05158,1.75131,2.6119,157.791,0.918794,1.00054
sigma_skill[6],1.22647,0.0567776,1.18966,0.0528642,0.876729,3.68975,439.026,2.55639,1.00094
sigma_skill[7],1.00428,0.0362846,0.985644,0.0640074,0.703468,2.92929,737.896,4.29666,0.999068
sigma_skill[8],1.02562,0.0324745,0.990787,0.0607266,0.719492,2.87918,930.839,5.42014,0.999184
sigma_skill[9],0.921926,0.0303995,0.981678,0.0430815,0.597395,2.91466,1042.81,6.07214,0.998453
beta_age[1],0.0551634,0.018799,0.528629,-0.855817,0.044603,0.956205,790.737,4.60435,0.998144
beta_age[2],-0.695359,0.00794286,0.161862,-0.980334,-0.691138,-0.43126,415.278,2.4181,0.997936
beta_age[3],0.108772,0.0099051,0.203141,-0.231757,0.110265,0.43677,420.608,2.44914,0.999075
beta_age[4],-0.143853,0.00928852,0.188754,-0.490015,-0.120279,0.128234,412.952,2.40456,1.00867
beta_age[5],-0.209504,0.0129693,0.260494,-0.650456,-0.190872,0.192212,403.423,2.34907,0.997683
beta_age[6],-0.0795431,0.0177157,0.521544,-0.942357,-0.0583396,0.760637,866.695,5.04664,0.999199
beta_age[7],-0.0149272,0.0141645,0.501612,-0.860734,0.000767885,0.764906,1254.1,7.30243,0.996865
beta_age[8],-0.00232911,0.0166239,0.498692,-0.78692,0.00902945,0.78405,899.91,5.24004,0.998338
beta_age[9],0.0314319,0.0143718,0.52154,-0.85288,0.0336105,0.913916,1316.89,7.66808,0.998782
beta_gender[1],-0.0845774,0.0200026,0.495158,-0.908108,-0.0940789,0.794797,612.792,3.5682,0.997518
beta_gender[2],-0.397746,0.0109541,0.179318,-0.710652,-0.38574,-0.121758,267.973,1.56037,1.00081
beta_gender[3],-0.463648,0.0117113,0.282271,-0.948679,-0.474828,0.00169953,580.932,3.38268,1.00336
beta_gender[4],0.261936,0.010831,0.217524,-0.127768,0.275542,0.60789,403.344,2.34862,0.99867
beta_gender[5],-0.396078,0.0138335,0.353053,-1.03233,-0.371693,0.159072,651.346,3.7927,0.996728
beta_gender[6],-0.259027,0.0163856,0.500556,-1.1236,-0.244906,0.546345,933.215,5.43398,0.997518
beta_gender[7],-0.066269,0.0164052,0.486881,-0.842294,-0.084708,0.712632,880.809,5.12882,1.00224
beta_gender[8],0.00714648,0.0177536,0.502617,-0.804159,-0.0124982,0.843977,801.492,4.66698,0.998305
beta_gender[9],-0.0550918,0.0172315,0.466934,-0.793018,-0.0519374,0.668378,734.285,4.27564,0.99842
"user_skill_raw[1,1]",-0.0277775,0.0342492,1.05203,-1.78641,-0.00747215,1.74155,943.52,5.49398,0.998566
"user_skill_raw[1,2]",-0.0738765,0.027072,0.870846,-1.54865,-0.0345555,1.25556,1034.77,6.02531,0.999805
"user_skill_raw[1,3]",0.276138,0.0322112,1.05364,-1.55464,0.265018,2.0044,1069.97,6.23029,0.999084
"user_skill_raw[1,4]",-0.407012,0.0324282,0.939654,-1.88951,-0.421471,1.09359,839.636,4.88908,0.997816
"user_skill_raw[1,5]",-0.271707,0.0335789,0.910977,-1.86381,-0.209821,1.10819,736.005,4.28565,1.00272
"user_skill_raw[1,6]",-0.00469337,0.0346007,1.06595,-1.71922,0.00922638,1.70587,949.086,5.52639,0.999008
"user_skill_raw[1,7]",0.0351871,0.0320193,1.07666,-1.86901,0.0725391,1.7489,1130.67,6.58374,0.999687
"user_skill_raw[1,8]",0.0379404,0.0351043,1.03585,-1.69289,0.0305109,1.67406,870.706,5.07,0.997346
"user_skill_raw[1,9]",0.0093045,0.0271648,1.01155,-1.75014,0.0371733,1.62583,1386.63,8.07416,0.9978
"user_skill_raw[2,1]",0.0175223,0.0354599,1.01293,-1.6345,-0.0335982,1.68882,815.989,4.75139,0.997245
"user_skill_raw[2,2]",0.541684,0.0328515,0.858874,-0.929529,0.602846,1.84851,683.515,3.98001,1.00174
"user_skill_raw[2,3]",0.32435,0.0390643,0.955564,-1.40532,0.475798,1.69755,598.356,3.48414,0.998422
"user_skill_raw[2,4]",-0.15232,0.0298831,0.962563,-1.76929,-0.155429,1.34736,1037.55,6.04148,0.998884
"user_skill_raw[2,5]",-0.0651416,0.0319086,0.945793,-1.72184,-0.0359709,1.34865,878.573,5.1158,0.999292
"user_skill_raw[2,6]",0.0259564,0.0350772,0.937274,-1.52163,0.0654202,1.55704,713.976,4.15738,0.996681
"user_skill_raw[2,7]",-0.0310891,0.0294949,0.997889,-1.6733,-0.0535967,1.64983,1144.65,6.66511,1.0016
"user_skill_raw[2,8]",-0.0265149,0.0348449,1.01243,-1.67792,-0.0303234,1.6521,844.213,4.91573,0.999765
"user_skill_raw[2,9]",-0.030649,0.0346532,1.08366,-1.75382,-0.00594218,1.80541,977.904,5.6942,0.997575
"user_skill_raw[3,1]",0.00985046,0.0341518,0.950542,-1.51964,0.0286744,1.50101,774.669,4.51079,0.999105
"user_skill_raw[3,2]",-0.76897,0.022244,0.727504,-1.96405,-0.72083,0.316735,1069.66,6.22845,0.997601
"user_skill_raw[3,3]",0.0283338,0.0318861,1.02981,-1.72129,0.114568,1.67684,1043.07,6.07365,0.9968
