i,mean,sd,q05,q50,q95,neff,rhat
1,0.122712,0.997201,-1.52943,0.125814,1.74455,1086.59,0.997572
2,-0.423154,0.895067,-1.90269,-0.418474,1.08899,819.995,1.00067
3,0.0939164,0.857134,-1.32614,0.0818902,1.52097,949.372,1.0018
4,-0.247742,1.0719,-2.09808,-0.223784,1.49402,1345.93,0.997946
5,0.0819678,1.02427,-1.66201,0.098249,1.95414,835.154,0.997739
6,0.225743,0.918101,-1.24603,0.239315,1.76091,929.236,0.998237
7,-0.197637,1.01012,-1.79587,-0.214648,1.54591,1009.7,0.998491
8,0.203537,0.818507,-1.1048,0.191497,1.57078,1560.04,0.998561
9,0.24732,0.93192,-1.29397,0.231579,1.75598,865.664,1.00354
10,-0.514921,0.985538,-2.14347,-0.523463,1.05082,734.643,0.997838
11,0.494021,0.798856,-0.847588,0.427979,1.842,890.088,0.997348
12,0.131461,0.949286,-1.37891,0.131752,1.72844,1420.5,0.997361
13,0.455339,0.866264,-0.953457,0.456785,1.95837,502.538,0.999943
14,0.197519,0.938431,-1.28766,0.166005,1.77086,863.429,0.998487
15,0.157769,0.972384,-1.47286,0.171579,1.78907,1285.15,0.997175
16,-0.456429,1.03782,-2.02542,-0.486118,1.20349,1210.36,0.997094
17,0.163297,0.92186,-1.37958,0.144172,1.65395,779.648,0.998405
18,-0.518935,1.04803,-2.17199,-0.522763,1.27291,1021.7,0.998727
19,-0.593234,1.02612,-2.21253,-0.66586,1.1306,948.858,0.999183
20,0.163926,0.969023,-1.48121,0.175907,1.84519,1043.23,0.998703
21,0.0737428,0.947364,-1.51907,0.0785474,1.62476,1202.0,0.998022
22,0.081426,0.901814,-1.38576,0.0907001,1.59614,983.616,1.00432
23,-0.0391341,0.994305,-1.73039,-0.0319136,1.56798,1404.42,0.997077
24,-0.00875118,0.989986,-1.55483,-0.0388248,1.63094,1221.37,1.00026
25,0.31817,0.951813,-1.18715,0.292543,1.91288,780.828,1.00249
26,0.633742,0.825321,-0.768952,0.60989,2.06382,954.77,0.998786
27,-0.680284,0.803035,-1.91826,-0.74211,0.676748,929.891,0.999471
28,0.0689479,0.979091,-1.58526,0.0761646,1.66114,733.332,0.998419
29,-0.264001,0.9213,-1.82097,-0.262689,1.28245,1024.74,0.998861
30,0.328575,1.00272,-1.32165,0.315063,2.02772,832.386,1.00208
31,0.123911,0.919583,-1.48067,0.149516,1.61572,802.811,0.996946
32,0.423248,0.957222,-1.22678,0.41226,2.01458,902.632,1.00001
33,-0.176516,1.0701,-1.86554,-0.212047,1.59778,1118.03,0.99943
34,0.432038,0.885029,-1.04978,0.444064,1.87725,497.564,1.00078
35,0.0767303,0.960959,-1.53008,0.115481,1.66707,681.523,1.00378
36,0.131215,0.954579,-1.39076,0.13387,1.62719,1501.67,0.997769
37,-0.42349,0.972216,-2.0308,-0.422489,1.22532,1349.28,0.997145
38,0.667673,0.872213,-0.78382,0.672236,2.16704,1155.65,1.00013
39,-0.303309,1.0178,-1.94064,-0.297953,1.30327,1397.66,0.998975
40,0.496017,0.797902,-0.825007,0.503577,1.72083,546.195,0.997697
41,-0.0721927,1.00726,-1.72244,-0.0466238,1.56191,1033.44,0.997721
42,-0.29957,0.882096,-1.71854,-0.269962,1.16891,811.971,0.997139
43,0.15291,1.04505,-1.52455,0.145114,1.96137,1246.54,0.998311
44,0.352221,0.888865,-1.04433,0.273858,1.8572,639.84,1.00002
45,-0.234538,1.00712,-1.90844,-0.281223,1.42762,803.14,0.998307
46,0.118621,0.880533,-1.17304,0.0710024,1.56748,1136.83,0.998909
47,-0.240059,1.00893,-1.94644,-0.23246,1.46434,752.606,0.999527
48,0.36657,0.959818,-1.16984,0.347206,1.94454,1006.37,0.997771
49,0.308923,0.820716,-0.930406,0.336042,1.7179,1180.18,0.997403
50,-0.431331,0.963797,-2.09219,-0.388985,1.12391,1010.86,0.997626
51,0.0617343,0.910299,-1.42873,0.136066,1.47554,586.52,1.00051
52,-0.19896,1.07022,-1.9142,-0.19583,1.64181,1090.58,1.00023
53,0.386527,0.966078,-1.21502,0.354408,2.01174,863.645,1.00091
54,-0.219509,1.03589,-1.89544,-0.258484,1.49276,929.06,0.999437
55,0.42215,0.93232,-1.09717,0.398289,1.96173,1184.43,0.99917
56,-0.244084,0.986714,-1.92638,-0.189441,1.30713,918.958,0.997502
57,0.428279,0.826664,-0.883131,0.409126,1.77649,772.825,0.999362
58,0.158498,1.01596,-1.45046,0.152351,1.80466,1195.61,1.00018
59,-0.00218422,0.709055,-1.17216,-0.0140954,1.16429,932.872,0.9981
60,0.189446,0.942453,-1.31554,0.165995,1.71992,975.054,0.997154
61,0.310757,0.911994,-1.07655,0.279792,1.90437,541.08,0.997926
62,-0.473729,0.865276,-1.80736,-0.519262,1.00565,708.28,0.999552
63,0.280879,0.891793,-1.23748,0.316639,1.76166,1473.57,0.997143
64,-0.0679259,0.88234,-1.5117,-0.145121,1.44844,791.287,0.997787
65,0.0567483,0.972197,-1.43369,0.0426423,1.64005,834.884,1.00046
66,-0.230877,1.02566,-1.94728,-0.245262,1.49475,790.848,1.00172
67,-0.165986,0.987777,-1.83848,-0.170455,1.43518,1056.09,0.998883
68,-0.944909,0.897894,-2.38758,-0.915543,0.482845,830.727,0.99935
69,0.317131,0.947316,-1.19335,0.223158,1.86862,622.809,0.998839
70,0.110512,1.08904,-1.69117,0.116327,1.89759,1208.81,0.997369
71,0.113544,1.11494,-1.66439,0.066437,2.00222,661.903,0.997017
72,0.0566958,0.880513,-1.41284,0.0601358,1.5584,1093.98,1.00378
73,-0.204145,0.965757,-1.78817,-0.174975,1.32156,871.517,0.998991
74,0.325378,0.871563,-1.10175,0.325788,1.88152,764.33,0.997834
75,-0.159066,1.01531,-1.80888,-0.170901,1.46522,799.886,0.998
76,0.187703,1.02592,-1.51297,0.232214,1.83217,1363.92,0.998163
77,-0.170862,1.00212,-1.83015,-0.195213,1.57252,901.967,0.997722
78,0.128639,0.958457,-1.39668,0.106977,1.73578,893.349,0.999258
79,0.126197,0.858211,-1.31828,0.117766,1.59162,1066.26,0.996858
80,0.199966,0.885571,-1.23667,0.169263,1.74227,1047.71,0.997128
81,-0.194275,1.002,-1.80354,-0.222822,1.3801,932.206,0.998044
82,-0.0338911,0.945166,-1.63815,-0.0586308,1.53872,1031.41,0.997158
83,0.0716551,0.976288,-1.50897,0.0806104,1.67022,1159.13,0.997821
84,0.218058,0.939009,-1.28256,0.23957,1.74071,937.733,0.997811
85,0.0135563,0.925045,-1.38256,0.0234906,1.50695,1377.31,0.996739
86,-0.272321,0.985289,-1.986,-0.320193,1.37954,1021.08,1.001
87,-0.145441,0.983198,-1.78228,-0.142337,1.49998,1146.85,0.997208
88,-0.269203,0.917795,-1.80962,-0.272795,1.24595,1159.45,0.997308
89,0.11319,0.979557,-1.48428,0.0867711,1.78139,953.967,0.997251
90,-0.235468,0.993514,-1.89858,-0.180765,1.38595,735.315,0.997954
91,0.670883,0.752172,-0.537085,0.641745,1.90656,677.242,0.998388
92,0.369843,0.949781,-1.11337,0.349326,1.91073,952.638,0.997385
93,-0.128614,0.909665,-1.64213,-0.113833,1.36113,1335.03,0.997313
94,-0.283571,0.917652,-1.78706,-0.273543,1.35015,779.065,1.00008
95,-0.232756,1.05967,-1.94069,-0.297895,1.51584,817.662,0.999561
96,-0.0543624,1.01249,-1.74863,-0.0530256,1.55276,457.29,1.00086
97,0.127584,0.901532,-1.35686,0.1379,1.67412,716.823,0.997115
98,0.0842425,0.943381,-1.50831,0.0910676,1.59215,1139.67,0.997755
99,-0.860377,0.889551,-2.27705,-0.863311,0.605609,1044.51,0.997842
100,0.977415,0.774246,-0.298076,1.004,2.27967,889.457,0.998725
101,-0.0188691,0.971185,-1.6334,-0.0587116,1.61303,560.028,0.998356
102,-0.402177,1.08662,-2.16815,-0.449342,1.36396,823.013,0.99805
103,-0.104911,1.06653,-1.89165,-0.0667135,1.71726,728.821,0.997134
104,0.590466,0.883231,-0.839459,0.567144,2.03308,1207.41,0.997438
105,-1.34636,0.824452,-2.72974,-1.36858,0.068277,957.644,0.998444
106,0.603805,0.751412,-0.598909,0.612389,1.93103,692.712,0.997433
107,0.0174436,0.969014,-1.52295,0.00864769,1.62349,993.649,0.999803
108,-0.209094,1.06887,-1.9729,-0.211696,1.5042,809.537,1.0056
109,0.28399,0.831903,-1.09701,0.244725,1.73008,771.822,0.998504
110,-0.0535218,1.04537,-1.89052,-0.0408636,1.6774,1096.54,0.997361
111,-0.133107,1.02147,-1.84097,-0.133073,1.57681,1036.51,0.999917
112,-0.230161,1.10445,-2.03216,-0.262489,1.6721,855.021,0.997959
113,-0.104032,1.0581,-1.83188,-0.0682102,1.58454,762.618,0.997306
114,-0.651689,0.954776,-2.25142,-0.630574,0.886756,727.816,1.0013
115,1.81129,0.742692,0.563863,1.8065,3.04143,1015.54,1.00029
116,0.184783,0.898112,-1.30649,0.167405,1.63888,1303.72,1.0008
117,-0.510882,0.997284,-2.06507,-0.559067,1.147,768.099,0.998734
118,-0.249948,0.993238,-1.95851,-0.213306,1.39643,511.886,1.0008
119,-0.0191617,0.965451,-1.52754,-0.0526776,1.62092,794.425,0.99764
120,0.0755955,0.905551,-1.35414,0.0839941,1.60191,1344.8,0.998614
121,-0.873633,0.716987,-2.02234,-0.898483,0.387118,665.815,0.998337
122,-0.210697,1.06082,-1.84883,-0.208441,1.45637,1160.24,0.997708
123,-0.39029,0.986195,-1.98314,-0.422669,1.28972,873.229,1.00063
124,0.0126946,0.958317,-1.53823,-0.0356696,1.59758,1102.35,0.997108
125,-0.233177,1.07051,-1.93233,-0.272727,1.59455,839.56,0.99874
126,-0.261732,1.02009,-1.95094,-0.233455,1.40344,761.054,0.998072
127,-0.143021,1.0189,-1.7889,-0.17676,1.52235,984.935,0.998244
128,0.0210066,0.98412,-1.60276,0.0212296,1.69132,1460.22,0.997225
129,0.222476,0.908721,-1.2483,0.200338,1.77612,919.977,0.997777
130,0.301725,0.884411,-1.17517,0.295163,1.79363,545.69,0.99938
131,-0.313734,0.951719,-1.86554,-0.297014,1.24556,907.273,0.997712
132,0.333709,1.00653,-1.34662,0.302983,1.9893,1122.44,0.999989
133,0.242618,0.893718,-1.30745,0.241454,1.78732,1007.03,0.997634
134,0.105248,0.989838,-1.53967,0.101496,1.78789,1062.89,0.997344
135,-0.5096,0.882597,-1.7943,-0.542052,0.876367,1097.58,0.998282
136,0.0217331,0.905049,-1.38443,-0.00999179,1.60407,454.074,0.998083
137,0.0682566,0.969195,-1.50221,0.0674294,1.60573,1114.45,0.999424
138,-0.0127435,0.922145,-1.44626,-0.00191688,1.54133,1012.81,1.00111
139,0.148296,0.958886,-1.45315,0.136088,1.73774,890.732,0.998163
140,-0.189258,1.00649,-1.80044,-0.189489,1.42579,1294.74,0.997818
141,0.167117,0.978757,-1.44012,0.144619,1.71498,470.912,1.00787
142,0.276359,0.97845,-1.31311,0.26675,1.86278,793.863,1.00087
143,0.338835,0.943716,-1.13233,0.312679,2.00386,779.46,0.99721
144,0.145729,0.948561,-1.29,0.111616,1.72523,1030.09,0.99816
145,-0.236498,0.974995,-1.88289,-0.298625,1.54273,413.633,0.998289
146,0.300255,0.860043,-1.16373,0.292519,1.75192,885.731,0.998667
147,0.18815,0.949685,-1.35573,0.154571,1.71356,994.929,0.997414
148,0.108888,0.98241,-1.48446,0.101024,1.76652,1219.12,0.996954
149,0.376461,0.847788,-1.01043,0.393591,1.78188,912.724,0.997465
150,-0.942705,0.887953,-2.35806,-0.982964,0.507171,715.734,0.999719
151,-0.513563,1.03766,-2.13245,-0.545727,1.20194,770.06,1.00745
152,-1.81016,0.807722,-2.98746,-1.82667,-0.487315,1479.95,0.998528
153,-0.515294,0.866417,-1.87331,-0.507459,0.983051,1225.98,0.996881
154,-0.643155,0.943066,-2.15609,-0.614819,1.02435,686.298,1.00179
155,-0.0213416,0.918451,-1.46908,-0.0236276,1.4314,1013.17,1.0017
156,0.317774,0.944219,-1.19093,0.315227,1.79154,1376.49,0.99793
157,-0.0947606,0.952176,-1.69681,-0.103385,1.47703,913.926,0.997027
158,-0.045563,0.995578,-1.63314,-0.0710253,1.6241,1344.87,0.997187
159,-0.205172,0.936246,-1.69284,-0.23808,1.28614,1188.45,0.998703
160,-0.119639,1.01039,-1.66673,-0.140316,1.6047,954.784,0.999777
161,0.108084,0.933004,-1.39325,0.137096,1.59138,932.624,1.00275
162,-0.200541,1.01867,-1.91044,-0.194589,1.38665,1109.69,0.997147
163,-0.52602,0.98925,-2.124,-0.484768,1.05563,987.484,0.998394
164,-0.0646277,0.93746,-1.61448,-0.12632,1.48177,777.297,0.997449
165,0.524698,0.846848,-0.8484,0.477238,1.9816,1094.1,0.997374
166,-0.0866503,0.960997,-1.58194,-0.0780387,1.48972,800.421,0.998301
167,0.252571,0.894382,-1.25257,0.250531,1.69327,1126.46,0.999323
168,-0.164012,0.965684,-1.80701,-0.152641,1.42241,698.763,0.999307
169,-0.0233317,0.968381,-1.58656,-0.0211905,1.54965,579.699,0.999193
170,-0.260827,1.04073,-1.9798,-0.287341,1.50249,769.436,0.99726
171,0.152462,0.968263,-1.4814,0.190803,1.74057,570.984,0.999298
172,-0.18804,0.859087,-1.56363,-0.211934,1.18445,1178.83,0.998855
173,-0.0393961,0.950225,-1.45561,-0.0943485,1.51075,577.676,0.996765
174,0.286328,0.972723,-1.19379,0.258657,1.86089,655.437,0.998042
175,0.156553,0.946254,-1.33832,0.161698,1.66568,761.991,0.998792
176,0.0919324,0.881732,-1.29867,0.106484,1.53829,1175.98,0.998588
177,0.500711,0.847061,-0.915416,0.505053,1.88531,1097.31,0.998418
178,-0.21008,0.879247,-1.52922,-0.223448,1.27125,1056.51,0.999785
179,-0.212567,0.951007,-1.7732,-0.254459,1.32777,937.507,0.997763
180,-0.0456294,0.995318,-1.69118,-0.0591509,1.63228,946.599,0.998819
181,0.0910974,1.02027,-1.58406,0.0836125,1.86051,889.322,0.999979
182,0.153635,1.03201,-1.59186,0.190347,1.83777,806.549,0.998154
183,-0.285622,0.900835,-1.7669,-0.312336,1.17701,1002.76,0.998927
184,0.658084,0.846739,-0.607178,0.612828,2.18597,776.124,1.00077
185,0.824386,0.734862,-0.33273,0.817065,2.05271,838.657,0.998894
186,-0.163171,1.05912,-1.95998,-0.132058,1.49353,803.156,0.996866
187,0.104744,0.897287,-1.42689,0.159075,1.53187,780.163,0.999645
188,0.181072,0.859923,-1.20405,0.15743,1.59525,864.627,0.999869
189,0.0878508,0.993743,-1.52138,0.056701,1.71236,804.865,0.998437
190,0.723736,0.825068,-0.577482,0.693574,2.13331,979.116,0.997005
191,0.155526,0.947994,-1.46689,0.131651,1.74372,1666.89,0.997129
192,-0.19681,1.02427,-1.86482,-0.241505,1.46554,969.889,1.0003
193,0.25867,0.970741,-1.39467,0.240061,1.95788,704.334,0.997048
194,-0.0621108,1.05769,-1.75591,-0.110042,1.71189,1019.35,0.998294
195,0.178441,0.996069,-1.42938,0.193182,1.69227,958.726,0.998429
196,-0.866279,0.866997,-2.27591,-0.899058,0.648105,637.448,0.997435
197,-0.725674,0.925679,-2.17642,-0.726122,0.838821,918.261,0.998838
198,0.610128,0.870067,-0.761439,0.559363,2.04407,668.536,1.00305
199,-0.236352,0.83538,-1.58166,-0.286252,1.16908,728.898,0.998337
200,0.0917279,0.951303,-1.49543,0.0834887,1.65989,818.172,0.997381
201,-0.04295,0.982395,-1.6788,-0.0155045,1.57877,957.311,0.996854
202,0.347208,0.978987,-1.26274,0.327821,1.99223,797.953,0.997597
203,0.135997,0.954008,-1.39194,0.137527,1.7686,815.684,0.99835
204,-0.228927,1.03034,-1.84766,-0.327099,1.51749,1064.31,0.997681
205,-0.117484,0.919433,-1.651,-0.118592,1.4377,701.053,0.997438
206,-0.35316,0.846674,-1.71428,-0.324502,0.928681,1255.1,0.997347
207,0.401749,0.858864,-0.933753,0.394002,1.84784,827.073,0.996819
208,-0.502147,1.0329,-2.1674,-0.519774,1.25511,809.283,1.00274
209,0.0982439,0.991122,-1.61578,0.138172,1.82923,924.551,0.998046
210,0.429145,0.875058,-0.979591,0.391328,2.01851,755.331,1.00162
211,-0.390062,0.961652,-1.94145,-0.442137,1.17604,1179.27,0.997854
212,-0.337166,0.914072,-1.80969,-0.359325,1.15987,1004.27,0.997921
213,-0.211203,0.981064,-1.8092,-0.199895,1.41175,630.246,0.998551
214,0.85252,0.863421,-0.554851,0.847575,2.30262,802.997,1.00118
215,0.094734,1.00584,-1.62105,0.125015,1.70021,1244.98,0.998305
216,-0.206405,1.0783,-1.95105,-0.18233,1.56659,1190.66,0.998316
217,0.180083,0.936831,-1.25597,0.125625,1.8197,1038.85,0.998298
218,-0.232553,1.04451,-1.99997,-0.159659,1.43224,805.363,0.999007
219,-0.336552,0.990743,-1.98113,-0.376333,1.30365,826.619,1.00072
220,0.510079,0.845838,-0.965333,0.526005,1.83939,901.477,0.997302
221,0.13143,1.03536,-1.61368,0.162362,1.82057,1569.56,0.997024
222,-0.194525,1.07018,-1.86363,-0.230697,1.56089,1621.31,0.997309
223,0.130573,0.934746,-1.41577,0.133227,1.69076,1010.66,0.999701
224,0.272813,1.00625,-1.30926,0.297046,1.9885,861.169,0.997961
225,0.0441612,0.744669,-1.12323,0.00688569,1.30457,687.966,1.00107
226,-0.25034,0.931413,-1.84192,-0.274191,1.29353,1181.69,0.997821
227,0.164866,0.922112,-1.34358,0.117053,1.72313,893.139,0.998777
228,0.251844,0.960352,-1.43568,0.225576,1.77366,1666.89,0.99698
229,0.21757,0.961704,-1.33457,0.264944,1.61714,855.858,0.997025
230,0.252095,0.986072,-1.40161,0.260601,1.9209,1128.55,0.99764
231,-0.44796,0.925864,-1.94154,-0.450073,1.08715,1020.5,0.99678
232,0.229863,0.954475,-1.33668,0.226814,1.74742,634.508,1.00109
233,0.28653,0.926096,-1.15632,0.332475,1.80621,778.101,1.00112
234,-0.147956,0.727363,-1.33879,-0.173452,1.11334,825.677,0.997268
235,0.2895,0.944887,-1.15137,0.275145,1.84631,508.316,1.00876
236,-0.468174,0.971732,-1.96943,-0.484098,1.22591,871.856,0.997205
237,-0.225474,0.825276,-1.50277,-0.228988,1.19476,1197.45,0.996901
238,-0.192722,0.954799,-1.66295,-0.200689,1.39592,1504.34,0.999353
239,0.21967,0.909198,-1.2836,0.203295,1.64093,885.795,0.998613
240,0.275039,0.938727,-1.21351,0.271943,1.87985,1416.9,0.996997
241,-0.259718,0.767214,-1.44361,-0.30138,1.06199,741.828,1.00022
242,-0.180398,0.982733,-1.76296,-0.176788,1.36486,1045.51,0.997365
243,-0.180757,1.11294,-1.94138,-0.173685,1.5933,1118.22,0.996712
244,0.283812,0.934443,-1.38892,0.295251,1.87471,1219.63,0.997023
245,0.104593,0.987861,-1.4879,0.0931047,1.6875,1052.26,0.997511
246,0.150809,0.881083,-1.30608,0.160766,1.57288,827.429,0.998162
247,0.0972748,0.98997,-1.48065,0.0585176,1.68565,1517.5,0.996796
248,-0.176272,1.05792,-1.81379,-0.184622,1.64536,928.238,0.998223
249,-0.13336,0.969833,-1.6329,-0.153695,1.48692,1097.0,0.996824
250,0.357272,0.864441,-1.02344,0.319929,1.78784,1074.3,0.997126
251,0.303803,0.974684,-1.33174,0.334731,1.91605,1075.62,0.997845
252,0.0100328,0.912356,-1.50359,-0.00794717,1.4967,953.012,0.999267
253,-0.257688,1.01343,-2.03687,-0.239992,1.42448,964.842,1.00112
254,0.228195,0.908636,-1.17492,0.183234,1.80974,1196.63,0.99788
255,-0.383234,0.92141,-1.85894,-0.34634,1.09088,1153.57,0.998046
256,0.118795,0.959842,-1.37792,0.129756,1.66175,616.854,1.00298
257,-0.249857,1.07339,-1.98527,-0.269259,1.60229,1030.81,0.999132
258,0.16931,0.987645,-1.52579,0.164742,1.92104,920.68,0.998584
259,-0.0430881,0.854587,-1.35783,-0.0644315,1.38032,1082.43,0.998317
260,-0.411704,0.937402,-1.93688,-0.405749,1.09202,793.773,0.998862
261,0.700795,0.900904,-0.711225,0.716603,2.13234,877.757,0.998912
262,0.412908,0.877689,-1.02169,0.468901,1.73335,996.29,0.998325
263,-0.166734,0.886486,-1.59005,-0.183187,1.36599,747.439,0.997993
264,-0.280833,0.958162,-1.82554,-0.291104,1.32538,1081.68,0.996887
265,-0.0238659,0.908364,-1.4426,-0.0691035,1.52091,843.317,0.997073
266,0.298623,0.944497,-1.26811,0.336203,1.75791,727.702,0.999145
267,-0.193945,0.940158,-1.5824,-0.282809,1.34922,873.599,1.00317
268,0.171195,0.953478,-1.53876,0.180663,1.86794,1135.92,1.00063
269,0.128593,0.979533,-1.41008,0.118075,1.72092,980.122,0.998954
270,0.36134,0.869184,-1.02636,0.335353,1.86084,754.579,0.998152
271,0.375394,0.809386,-0.931359,0.35409,1.7307,671.2,1.00202
272,-0.0370991,0.910174,-1.55048,-0.00461823,1.58969,831.195,0.99906
273,-0.211043,1.05424,-1.89591,-0.228169,1.5413,790.804,0.997433
274,-0.663151,0.765318,-1.81233,-0.72337,0.686082,660.22,1.00171
275,-0.186979,1.05151,-1.90321,-0.18843,1.60092,1607.14,0.996996
276,0.085213,0.890391,-1.34368,0.0607786,1.57947,1276.56,0.997012
277,0.172957,0.87177,-1.28099,0.173422,1.63066,1048.56,0.996909
278,-0.00040474,0.905306,-1.51608,0.0140547,1.47636,1012.43,0.997728
279,-0.200077,0.940699,-1.71609,-0.196826,1.40168,1284.33,0.998573
280,0.142537,1.00628,-1.422,0.0769703,1.90864,574.972,0.997995
281,-0.486486,0.997159,-1.99994,-0.564822,1.17629,594.913,0.998899
282,0.207144,0.821825,-1.1311,0.221408,1.51473,654.345,0.997798
283,0.0113694,1.10213,-1.79717,0.0146278,1.7477,1062.29,0.999665
284,-0.0340154,0.990943,-1.71898,-0.0189799,1.57724,1090.67,0.99736
285,0.124378,1.00875,-1.47486,0.128229,1.82269,764.174,0.997205
286,-0.112422,1.00965,-1.74248,-0.113003,1.5205,789.426,0.998279
287,-0.0351441,0.936275,-1.59283,-0.0668199,1.47779,581.467,0.997899
288,0.166657,0.913294,-1.29951,0.181667,1.69638,1223.22,0.997436
289,-0.00373219,0.884063,-1.46674,-0.0158703,1.4725,909.615,0.99788
290,0.166663,0.928107,-1.39309,0.207375,1.5523,748.953,0.998413
291,0.0368394,0.784954,-1.2251,0.048724,1.31907,859.289,0.997955
292,0.092342,0.958717,-1.35841,0.110976,1.59861,1239.01,0.997225
293,-0.276731,0.85323,-1.62441,-0.329817,1.18849,874.128,1.00024
294,0.50032,0.827525,-0.902904,0.510176,1.81309,784.784,0.997257
295,-0.451626,1.0117,-2.06846,-0.481116,1.18626,614.452,0.999812
296,-0.283776,1.06881,-1.926,-0.337784,1.50777,1056.21,0.997048
297,0.363634,0.839317,-1.06102,0.330417,1.76043,836.195,0.999967
298,0.00497487,0.881314,-1.38888,0.0270395,1.35121,883.312,0.996778
299,0.00748965,0.938904,-1.46749,-0.0420212,1.64945,838.564,0.998275
300,-0.340766,0.834321,-1.62018,-0.41027,1.00324,545.024,1.00015
301,-0.131621,0.945253,-1.71894,-0.154746,1.40299,760.096,0.99895
302,-0.478774,0.674084,-1.60013,-0.489963,0.545019,1032.26,0.999724
303,0.35173,0.705037,-0.759766,0.302445,1.58355,634.381,1.00041
304,0.24045,0.945466,-1.24072,0.208052,1.80448,715.758,1.00025
305,0.111988,0.79197,-1.183,0.0914592,1.54871,981.333,0.997899
306,-0.404677,0.967066,-1.96139,-0.465958,1.24706,1439.32,0.998021
307,0.0253494,0.87392,-1.33838,-0.0277227,1.49483,566.058,0.999042
308,-0.165691,1.03769,-1.82274,-0.168817,1.5368,1029.11,0.999815
309,-0.190307,0.936699,-1.74677,-0.178311,1.2881,832.895,1.00096
310,0.20218,0.958807,-1.30924,0.166305,1.8486,579.125,1.00619
311,-0.457359,1.08643,-2.24384,-0.460321,1.28517,1148.64,0.999904
312,0.274748,0.823482,-1.04072,0.242408,1.70411,809.155,0.998209
313,0.125711,0.931329,-1.33944,0.119584,1.75317,1244.68,0.997948
314,0.101858,0.803327,-1.25019,0.0841853,1.46634,559.927,1.00956
315,-0.514999,0.974423,-2.15241,-0.549757,1.17165,997.987,0.998431
316,0.118292,0.925573,-1.41526,0.111617,1.64574,1417.18,0.999678
317,0.191981,0.931334,-1.3751,0.218069,1.68768,568.308,0.997847
318,-0.766819,0.818201,-2.13606,-0.783701,0.58821,1146.61,0.997154
319,0.00541465,0.940652,-1.64117,0.00865531,1.49451,899.962,0.998406
320,-0.334536,0.976484,-1.84417,-0.353957,1.25498,1280.39,0.997499
321,-0.387323,0.971644,-2.02038,-0.39674,1.17672,588.436,0.997079
322,-0.172239,1.05598,-1.84196,-0.119627,1.51079,1349.06,1.00285
323,0.170834,0.916691,-1.39197,0.217599,1.68128,862.644,0.999088
324,-0.180347,1.03531,-1.90761,-0.151925,1.42232,709.321,1.00744
325,0.548535,0.825798,-0.786822,0.569525,1.87838,733.807,0.999085
326,-0.210139,1.02119,-1.84368,-0.207418,1.51581,746.761,0.997841
327,-0.520557,0.952633,-2.08166,-0.565579,0.991462,1666.89,0.998437
328,0.334975,0.915094,-1.16704,0.299752,1.94739,1650.24,0.997147
329,-0.241991,1.02094,-1.90566,-0.274044,1.49979,839.442,0.997082
330,0.0987305,0.911835,-1.40846,0.120929,1.6412,1002.66,0.999693
331,-0.108399,0.891843,-1.63346,-0.114538,1.41618,909.709,0.997455
332,-0.0431785,0.973934,-1.63538,-0.0245134,1.53244,1421.3,1.00004
333,0.180859,0.85495,-1.18584,0.180158,1.54828,832.758,0.997049
334,0.0980994,0.930214,-1.53313,0.131078,1.65407,893.325,0.997572
335,0.11807,0.994252,-1.50711,0.123823,1.76,1211.74,0.997424
