"user_skill[1,1]","user_skill[2,1]","user_skill[3,1]","user_skill[1,2]","user_skill[2,2]","user_skill[3,2]","user_skill[1,3]","user_skill[2,3]","user_skill[3,3]","user_skill[1,4]","user_skill[2,4]","user_skill[3,4]","user_skill[1,5]","user_skill[2,5]","user_skill[3,5]","user_skill[1,6]","user_skill[2,6]","user_skill[3,6]","user_skill[1,7]","user_skill[2,7]","user_skill[3,7]","user_skill[1,8]","user_skill[2,8]","user_skill[3,8]","user_skill[1,9]","user_skill[2,9]","user_skill[3,9]"
1.7888,-0.267094,2.69846,-1.32242,-1.56146,-1.68494,-4.22507,-0.221776,-1.15588,-2.4815,-1.66126,-0.93291,-0.634866,-0.247203,0.540276,-0.546638,2.50104,1.04233,0.458795,-1.14748,-2.4101,-1.67474,-0.904288,-1.04632,2.20208,2.93769,3.08825
1.33804,0.777511,1.55755,-1.07886,-2.17978,-1.77074,-4.08653,-0.540483,-1.51636,-1.60725,-1.93446,-0.970344,-2.37949,-0.130935,0.554491,0.404747,1.34094,0.708624,-0.244725,-1.71427,-2.24519,-0.881371,0.0528556,-0.519459,1.3454,2.23688,2.10826
1.44466,0.307381,1.52076,-0.517898,-1.09391,-0.875922,-3.75688,0.41456,-1.47799,-1.60495,-1.86609,-0.933081,-2.11963,0.0238143,-0.412875,0.420909,1.61645,1.53573,-1.27958,-3.49518,-2.20418,-1.75506,-1.507,-1.64495,0.499185,2.28107,1.83661
-2.11905,-0.0774353,-3.00242,-2.84931,0.0251433,-3.4354,1.09755,-5.7131,-4.38184,-2.91205,-1.15814,-1.52931,-1.18117,-1.79656,-2.36368,-0.524013,-2.7763,-2.70248,-0.694751,2.98746,1.57494,0.859147,0.117541,0.697388,-1.29973,-2.6985,-2.83999
1.87477,-0.237521,2.0484,-2.33562,-2.94625,-1.85928,-3.01593,1.06462,-2.91958,-2.6327,-1.94432,-1.0902,-3.00038,-0.36772,-0.297099,-0.861334,2.1987,1.57117,0.0890255,-0.747495,-0.534004,-1.81111,-1.05628,-1.08981,0.748036,1.48791,1.7342
-1.65504,-0.704515,-2.07234,-1.53241,-2.88631,-2.45622,-0.177563,-3.60423,-1.67504,-1.04075,-0.942658,-0.855635,-0.89987,-0.0126805,-3.64062,-0.311612,-2.18518,-2.18783,-1.09828,-0.285953,1.10122,1.46257,-0.840433,2.17945,-1.11548,-2.2307,-2.48221
-0.239536,1.10059,1.99355,-1.47078,-1.83619,-2.37176,-2.86723,-2.13472,-2.81817,-2.91678,-2.81029,-0.636423,-0.250927,-1.2133,0.60059,-6.55096,2.24856,-2.09864,-1.15736,-0.535476,-1.43925,-1.88207,-0.596494,-2.54586,0.0639259,4.62502,3.55333
-0.803398,-2.27416,-1.54378,-3.21095,0.376254,-1.94968,-0.616121,-0.379629,-1.85356,-0.931167,-0.580506,-0.818785,-2.33257,-0.110958,-2.13471,1.40752,-0.552851,-0.218683,1.06864,0.14421,-0.156982,0.903795,0.198064,0.501447,0.0264972,-1.4947,-1.6838
1.89605,-1.70442,0.890488,-4.47202,-0.235675,-0.637938,-2.25158,-1.19996,-0.943755,-1.70656,-0.931878,-1.15694,-2.55872,1.29324,-0.931661,-0.0643472,1.44726,-2.88204,-0.417178,-0.0974357,-0.110957,1.05585,-0.0651123,0.663793,-0.261892,1.89481,1.68086
-0.543486,0.476661,-0.391322,-0.895,1.90647,-3.14341,-3.35858,-2.79436,-4.66922,-2.13027,-1.59305,-0.856244,-0.762879,-0.471285,-2.55387,-0.483812,-0.561295,-1.28878,-3.0982,0.0514472,-1.91146,0.0879633,-0.776655,-0.174949,-0.0865687,-1.05378,-1.62047
-0.97239,1.08461,1.62626,-1.67367,0.378978,-2.13751,-0.448138,-2.31026,-1.42981,-1.99274,-0.306861,-0.364358,-1.77479,1.54242,-2.42655,-0.453563,0.318255,-0.057289,-0.957976,1.1243,1.42052,5.6306,-1.93981,0.0546451,0.53253,0.23206,-0.613645
-0.099414,-0.4686,-0.609657,-0.812406,0.924674,-3.32417,1.75847,-1.10128,-3.97325,-1.65573,-1.4377,-1.09658,-0.972439,-4.30207,-3.51833,0.110518,-2.10132,0.164487,1.32488,-0.431343,-0.548743,0.698783,1.04349,1.60787,0.891372,-0.254183,-2.48589
0.101876,-0.43595,-0.601892,-2.71048,0.648975,-3.68094,0.209346,-0.209571,-3.70576,-2.02535,-1.10366,-1.97722,-2.03862,-2.61808,-2.44453,1.09219,-0.0361033,-0.0929658,0.0982434,-1.94942,-0.649888,-0.150824,1.17612,2.65386,3.89163,-0.609872,-1.36811
-1.78631,-1.38817,-1.57889,-2.08103,0.507325,-3.97938,-3.1405,-0.62244,-4.02944,-1.99755,-0.991609,-2.36154,-2.93423,-1.83622,-1.75734,0.665421,-0.0322324,-1.23968,-0.0367564,-3.72332,-0.37097,0.531072,-0.596521,6.95984,0.250801,-0.167415,-0.783741
1.14291,0.272453,-1.33802,-2.08056,-1.07525,-1.57356,-3.54413,-3.04969,-0.888953,-2.04238,-1.50225,0.160646,-3.40795,-3.10197,-2.84325,0.635442,-2.22952,6.17994,-2.11355,-1.25163,-1.34906,-0.643957,-0.907211,-1.69904,-6.17919,3.31475,1.28482
-0.951218,-0.55883,0.552895,-3.78646,1.28903,-4.11517,0.447055,-0.858791,-4.28738,-1.82098,-1.69333,-2.60756,-4.68284,-0.73924,-0.642029,-1.0091,3.90684,-6.20369,1.95791,-3.72697,1.04968,0.909474,0.991527,1.42645,-0.244238,-0.511706,-1.09079
-0.531644,-0.324428,-2.27481,-2.11566,-1.59165,-2.78125,-2.6134,-1.65513,-3.82226,-2.53704,-2.95625,-2.66084,-2.40376,-1.66659,-0.765257,-0.996792,-0.325633,-3.45423,1.92994,0.825354,-0.574,1.47035,1.49709,2.00494,-0.0605005,-0.830185,-0.250409
4.25604,1.69696,2.90397,-2.76161,-0.944323,-3.48703,0.417462,-4.76636,-2.42937,-1.53782,-0.761143,-2.10562,-5.08898,1.84768,-4.62031,-1.16738,1.65689,-1.61363,-3.23897,2.07874,1.27888,-0.914389,-1.47433,-1.08014,-2.73259,0.00949011,1.1132
-2.47844,-2.42952,-1.69978,-1.19495,-1.06696,-1.33167,-2.15105,-3.0898,-1.77576,-2.52074,-2.75419,-1.87841,-3.51186,-2.83636,0.869794,1.66887,-1.13926,4.43906,-1.3075,-2.44518,-2.70579,1.15123,5.25372,-17.0442,-0.0390739,-1.31132,-0.188286
-2.41743,-1.29737,-1.24157,-1.76138,0.251073,-2.88133,-2.77483,-1.21659,-1.41324,-1.36889,-2.6745,-1.20116,-3.40643,-3.28505,0.310886,2.28249,0.146212,3.13552,0.789799,-2.71238,-4.19756,0.661718,1.79661,-7.00352,-0.188223,-2.14681,-1.02895
-1.87971,-0.758236,0.739127,-2.78674,-0.199388,-3.24357,-2.61503,-2.99217,-1.29659,-1.19032,-1.87604,-1.41355,0.440316,-3.65695,-0.648544,1.77643,1.00285,0.775904,0.26882,-4.60869,-4.44292,-0.252369,0.218374,-0.408483,2.71712,0.212442,0.790863
-2.0437,-1.46304,-1.24481,-4.00411,0.941122,-0.747183,-4.7325,0.0404794,-0.303236,-2.73848,-1.25571,-1.30829,-4.2027,0.70063,-1.50083,1.0119,-1.33242,-2.25806,0.468041,-0.872795,0.676776,0.536745,-0.38346,-0.199267,0.997932,0.506184,0.150278
-2.06767,-1.11337,-0.922448,-4.43784,0.751422,-1.14494,-4.31186,0.276983,-1.30948,-2.54375,-1.41201,-1.65103,-4.39987,0.565351,-1.31468,3.12115,-1.53188,-2.68303,0.661675,-1.31083,1.66941,0.353756,-0.452081,-1.34288,0.399868,0.32582,-0.336818
-2.22311,-1.41728,-1.09412,-1.74536,-0.622936,-1.22285,-5.23438,0.394618,-2.67509,-1.92874,-1.25825,-1.54647,-2.99682,0.832281,-2.4667,0.926559,-0.0461167,-2.58722,-2.63609,-1.16216,2.28311,1.98317,-0.308984,-0.823654,-4.15382,-0.446044,-2.29902
0.739289,0.0462869,-1.05968,-2.61951,0.267424,-3.57625,0.7294,-3.76805,-2.22335,-2.47713,-2.19712,-1.8577,-0.830097,-3.98466,-1.33204,-2.41762,-0.218652,3.19855,-0.122596,0.537774,-0.382753,-2.13513,-0.354556,-0.168151,0.581918,0.499622,1.19457
2.46858,0.206759,-0.771963,-0.387201,0.556215,-3.25957,-2.33927,-2.21961,0.261378,-3.11393,-0.296551,-1.55095,-2.18106,-5.8726,-2.59354,2.18434,4.37363,3.92158,0.495815,0.506986,-2.56406,-2.81298,1.91182,-1.77466,3.83848,3.20397,3.51019
-2.64796,-0.807,0.00535349,-7.73308,-3.3211,-1.86107,-0.891086,-3.5375,-7.27472,-1.62163,-3.67742,-0.976411,-2.32022,1.36786,-1.52641,-2.90986,-1.37829,-2.11816,-0.782736,-0.636712,-0.127562,-1.16205,-0.611605,-0.947188,-4.51914,-3.32305,-4.46869
0.774824,-0.219065,-0.572701,0.656284,-1.71385,-3.58058,-3.89291,-1.85468,0.263544,-2.61175,-0.426262,-1.8578,-3.58107,-4.08269,0.19278,1.08596,-2.07624,2.66936,0.681061,0.653295,-1.64385,0.921895,-0.135691,0.0326878,4.05144,3.17289,3.55736
-1.62863,-0.74463,-0.979973,-5.10282,0.973413,-1.72688,-0.911569,-1.15523,-5.76308,-2.06474,-3.556,-1.19354,-3.0897,0.602754,-4.8185,-1.54325,-0.744101,-0.683123,-1.51736,-1.20154,-0.199877,-0.21975,0.648746,-0.139702,-4.15753,-3.59862,-3.46646
-0.491483,-0.319464,-0.631293,-0.749218,-2.76776,-3.63708,-2.38451,-4.00202,2.03301,-2.12381,-0.339306,-1.63956,-2.29841,-4.29658,0.48202,2.92168,-5.58619,1.5188,0.438485,0.0802614,-0.890014,-0.327855,-1.17643,-0.158227,6.46286,3.86984,5.49549
-0.497192,-0.33179,-0.515336,-2.87295,-2.38717,-4.6533,-0.946516,-0.448667,-5.23607,-2.17005,-0.6191,-0.266805,-1.47803,-2.0944,-3.78395,3.78683,-3.86151,1.09825,-0.718654,0.700509,-1.3794,1.54077,1.25569,3.50848,0.440301,-0.430219,-1.23601
