gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.290731,0.876293,0.856723,5.92984,1.03505
0.290975,0.879822,1.02291,5.90399,1.0311
0.294259,0.889537,0.812159,5.90359,1.02607
0.292335,0.857338,0.878938,5.91559,1.03085
0.306473,0.876604,0.871436,5.9187,1.03619
0.298213,0.873928,0.842696,5.90745,1.02283
0.294392,0.875564,0.93207,5.89828,1.03243
0.298783,0.892439,0.82413,5.93921,1.02796
0.292989,0.884714,1.04218,5.93022,1.02256
0.28589,0.890167,0.681687,5.91468,1.03726
0.286487,0.87337,0.832546,5.91915,1.02721
0.304967,0.889435,0.872779,5.90964,1.03841
0.289985,0.872601,0.848379,5.91047,1.02109
0.29028,0.877968,0.933975,5.92964,1.04553
0.300317,0.870801,0.920956,5.90054,1.02749
0.282277,0.862054,0.914768,5.90593,1.03662
0.296071,0.894904,0.914787,5.91855,1.0263
0.285309,0.889968,0.824919,5.93801,1.03043
0.293653,0.877585,0.863008,5.92348,1.03821
0.298823,0.890595,0.910655,5.92007,1.03821
0.288561,0.896787,0.954916,5.92046,1.03793
0.289318,0.87862,0.880863,5.90754,1.03274
0.294652,0.900909,0.844102,5.92158,1.03257
0.294774,0.87491,0.906324,5.91899,1.03194
0.306158,0.882828,0.971832,5.92609,1.04706
0.295165,0.882403,0.822577,5.91517,1.03476
0.298584,0.898372,0.902697,5.91148,1.03297
0.29648,0.893424,0.887298,5.91927,1.03013
0.280874,0.873135,0.776509,5.92261,1.04086
0.291963,0.871361,0.879594,5.9288,1.02951
0.28061,0.88448,0.996276,5.92079,1.04136
0.297278,0.883501,0.919146,5.92983,1.04355
0.308101,0.891565,0.917228,5.93811,1.02353
0.294366,0.88819,0.84764,5.9125,1.03109
0.298551,0.902955,0.852463,5.90865,1.03242
0.29592,0.866888,0.830525,5.91922,1.03477
0.302958,0.88731,0.791173,5.91752,1.04244
0.293094,0.872906,0.887019,5.92057,1.04125
0.30107,0.855402,0.863313,5.90386,1.03394
0.300855,0.863614,0.915554,5.92801,1.03009
0.28568,0.858335,0.937946,5.89808,1.03153
0.295419,0.874435,0.919589,5.91457,1.04371
0.299281,0.862778,0.767802,5.90845,1.02845
0.294349,0.861371,0.86768,5.93929,1.03508
0.295424,0.8838,0.817532,5.92152,1.04371
0.304136,0.881406,0.877077,5.91591,1.02409
0.287551,0.894508,0.924977,5.89862,1.02813
0.28941,0.845565,0.811831,5.91065,1.02765
0.29573,0.880985,0.929138,5.92735,1.02795
0.289082,0.88592,0.861155,5.91906,1.03141
0.291729,0.875271,0.881839,5.90738,1.03927
0.288684,0.88002,0.799005,5.92755,1.02987
0.298713,0.871828,0.942023,5.90914,1.03382
0.300133,0.879251,0.949957,5.91863,1.01989
0.299437,0.891344,0.652227,5.91726,1.02366
0.295277,0.885145,0.813217,5.91259,1.02697
0.281594,0.87326,0.887921,5.92363,1.02087
0.298161,0.862258,0.945896,5.91587,1.03895
0.295859,0.869164,0.922941,5.93357,1.0374
0.299848,0.869112,0.791498,5.91164,1.02831
0.288012,0.882689,0.797705,5.9218,1.03654
0.296858,0.888537,0.851728,5.92736,1.03456
0.285754,0.877757,0.915574,5.91521,1.02484
0.297349,0.891216,0.892226,5.91637,1.02942
0.291733,0.864443,0.831207,5.92151,1.03255
0.286129,0.854993,0.948326,5.90672,1.03813
0.29936,0.892387,0.820962,5.92416,1.03052
0.288948,0.886193,0.88942,5.90559,1.03259
0.298644,0.859753,0.908521,5.92271,1.02517
0.293425,0.878524,0.96131,5.90817,1.0381
0.285492,0.869307,0.898248,5.9152,1.03503
0.300882,0.844464,0.88786,5.91708,1.03228
0.291816,0.89568,0.876702,5.90719,1.03116
0.295431,0.883708,0.914444,5.90731,1.03803
0.292592,0.861675,0.827986,5.90454,1.03498
0.305031,0.882913,0.93898,5.91995,1.02154
0.296705,0.888167,0.803137,5.9142,1.02857
0.299312,0.862867,0.881078,5.91573,1.04065
0.291685,0.87434,0.812349,5.92497,1.03949
0.290918,0.872778,0.87737,5.94066,1.03353
0.290251,0.869938,0.798252,5.9169,1.03024
0.29869,0.879751,0.870103,5.93879,1.0411
0.302192,0.908293,0.825606,5.92389,1.03211
0.294152,0.878288,0.770242,5.9081,1.02848
0.290385,0.897696,0.847112,5.91566,1.02147
0.291303,0.875488,1.0351,5.91917,1.03804
0.288625,0.874069,0.907146,5.90494,1.04087
0.306257,0.880034,0.895726,5.9203,1.03013
0.307437,0.895288,0.91078,5.93378,1.0366
0.298861,0.886637,0.957894,5.93056,1.02704
0.292024,0.885394,0.890151,5.92736,1.02776
0.304921,0.891792,0.899429,5.91951,1.0314
0.283538,0.885834,0.769138,5.91638,1.02648
0.302461,0.888121,0.830153,5.90942,1.03392
0.293031,0.885804,0.914901,5.92777,1.03335
0.285085,0.875562,0.766967,5.90782,1.03389
0.28644,0.86474,0.81392,5.92326,1.03615
0.29994,0.875125,0.870919,5.93453,1.04253
0.296524,0.881692,0.858146,5.91548,1.04244
0.293232,0.864365,0.788044,5.90331,1.03484
0.294034,0.88485,0.891777,5.90639,1.04057
0.301661,0.880102,0.689016,5.91893,1.03351
0.296564,0.873459,0.857264,5.93036,1.04169
0.299562,0.885293,0.888221,5.90486,1.03851
0.299001,0.877053,0.753193,5.91652,1.0248
0.307322,0.877093,0.85221,5.91983,1.0287
0.288861,0.910266,0.843937,5.91463,1.03475
0.302667,0.895316,0.862473,5.91081,1.02642
0.284401,0.881328,0.844599,5.90901,1.02952
0.284326,0.860164,0.865692,5.93071,1.02131
0.294893,0.89703,0.927087,5.9208,1.02893
0.284803,0.878372,0.753498,5.91254,1.03218
0.294745,0.891033,0.929958,5.92321,1.03843
0.296132,0.881998,1.01098,5.90994,1.03973
0.300565,0.873551,0.793193,5.94069,1.02578
0.305603,0.877365,0.84499,5.91468,1.03301
0.294002,0.872446,0.821642,5.90182,1.04323
0.29735,0.865753,0.946504,5.90677,1.03706
0.302816,0.888559,0.893439,5.94287,1.03516
0.30138,0.873883,0.79999,5.91959,1.02962
0.292586,0.870376,0.914494,5.93645,1.02837
0.298809,0.888504,0.876781,5.91434,1.02994
0.283486,0.882347,0.875243,5.9273,1.05438
0.290875,0.877413,0.810099,5.92895,1.03423
0.297164,0.863494,0.84742,5.91347,1.02729
0.307364,0.864294,0.766935,5.90797,1.02826
0.285583,0.869975,0.935668,5.9037,1.03515
0.28975,0.877135,0.858767,5.90888,1.02643
0.290184,0.88469,0.920031,5.91157,1.01867
0.286315,0.883879,1.01311,5.93217,1.036
0.289324,0.885561,0.822998,5.91526,1.04197
0.298627,0.870829,0.796591,5.93819,1.02665
0.283786,0.890916,0.934993,5.9052,1.02867
0.292746,0.861241,0.880698,5.91439,1.03339
0.290733,0.892056,0.873686,5.92185,1.03561
0.288206,0.87679,0.798325,5.92134,1.04365
0.29634,0.875309,0.808925,5.90883,1.02866
0.288371,0.891483,0.948296,5.92817,1.03059
0.297925,0.87548,0.876215,5.90581,1.02999
0.296161,0.899701,0.768494,5.91105,1.0301
0.297548,0.873644,0.943728,5.9312,1.03093
0.296212,0.885641,0.945359,5.9133,1.03775
0.285326,0.884982,0.858988,5.91856,1.0337
0.299595,0.876454,0.855679,5.9327,1.03107
0.293836,0.855736,0.885303,5.90596,1.02221
0.29045,0.883311,0.768674,5.92043,1.03147
0.293717,0.864074,0.811939,5.91338,1.03927
0.304211,0.866011,0.869787,5.92688,1.03128
0.293798,0.885453,0.888631,5.92302,1.02348
0.291708,0.885481,0.863283,5.94405,1.02712
0.291393,0.879895,0.827617,5.92537,1.04068
0.288219,0.882925,0.809592,5.94052,1.0187
0.297448,0.870065,0.898958,5.89845,1.02625
0.287383,0.888425,0.775097,5.93019,1.0441
0.291774,0.864054,0.872918,5.90019,1.04632
0.295459,0.862307,0.826034,5.92018,1.0318
0.296713,0.846108,0.90726,5.91607,1.02226
0.295039,0.852351,0.764055,5.90691,1.02502
0.28281,0.877445,0.770947,5.92793,1.03642
0.293831,0.851337,0.862675,5.93962,1.03498
0.301857,0.87032,0.986578,5.92667,1.0268
0.300441,0.850971,0.887165,5.90837,1.02792
0.296699,0.895002,0.840803,5.91549,1.03324
0.289325,0.880553,0.926275,5.92675,1.02544
0.298591,0.859712,0.919189,5.9152,1.02773
0.291064,0.883681,0.80131,5.92016,1.03473
0.292392,0.872304,0.894223,5.9247,1.04066
0.287638,0.887828,0.84813,5.91285,1.02594
0.288623,0.851913,0.921532,5.91465,1.02669
0.297994,0.862501,0.844912,5.93683,1.03674
0.289592,0.890522,0.905324,5.91436,1.02046
0.287519,0.887359,0.85293,5.91206,1.02638
0.286322,0.848092,0.924798,5.90891,1.02945
0.2798,0.879561,0.8045,5.91518,1.03652
0.303775,0.886088,0.895197,5.9277,1.03548
0.298551,0.907284,0.840522,5.90699,1.03982
0.310723,0.861011,0.884902,5.91956,1.02063
0.278487,0.87286,0.837888,5.91283,1.03768
0.288326,0.892797,0.956408,5.92597,1.0314
