i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
1,0.0776366,0.963538,-1.504,0.0835272,1.59417,916.017,0.998619,1,Maths
2,-0.011171,1.0095,-1.64214,-0.0320013,1.69133,1405.66,0.997043,2,Number
3,0.160494,0.829565,-1.15987,0.177529,1.53538,788.597,1.00355,3,Calculator Use
4,0.34882,0.420902,-0.328497,0.333155,1.04451,571.374,1.00364,4,Decimals
5,-0.52686,0.262375,-0.968952,-0.521986,-0.0999852,441.127,1.00174,5,"Factors, Multiples and Primes"
6,-0.580819,0.39933,-1.31366,-0.549674,0.0530985,604.749,1.00085,6,"Fractions, Decimals and Percentage Equivalence"
7,-0.800793,0.263175,-1.25083,-0.781603,-0.376174,533.028,1.00079,7,Fractions
8,-0.154803,0.296516,-0.673338,-0.172133,0.310077,482.005,1.00466,8,"Indices, Powers and Roots"
9,-0.13597,0.280653,-0.579908,-0.143786,0.325164,418.419,1.01421,9,Negative Numbers
10,-0.364447,0.347223,-0.938104,-0.362733,0.216985,635.004,0.998042,10,Percentages
11,-0.248448,0.500995,-1.07181,-0.213767,0.518195,681.901,0.999882,11,Proportion
12,-0.159788,0.426221,-0.930111,-0.167931,0.524897,480.131,1.00451,12,Ratio
13,-0.499141,0.754315,-1.77809,-0.491015,0.712253,1275.59,0.997524,13,Surds
14,0.175977,1.01202,-1.47804,0.191578,1.84815,1101.09,0.997545,14,Algebra
15,-0.847303,0.498821,-1.74717,-0.836206,-0.0313915,643.315,0.99688,15,Straight Line Graphs
16,-0.334889,0.613433,-1.34824,-0.359033,0.681262,834.487,0.998716,16,Quadratic Graphs
17,-0.44988,0.423048,-1.1583,-0.436128,0.235147,586.121,0.998946,17,Inequalities
18,-1.34929,0.428969,-2.06867,-1.32091,-0.685958,692.667,0.999524,18,Sequences
19,-0.747617,0.40362,-1.47398,-0.758532,-0.0621125,440.071,1.00161,19,Writing and Simplifying Expressions
20,-0.434896,0.839453,-1.81728,-0.421955,0.965522,1002.38,0.998583,20,Transformation of Functions
21,-0.208526,0.935803,-1.82082,-0.190835,1.37815,997.648,1.00035,21,Geometry and Measure
22,-0.276735,0.257802,-0.693848,-0.280424,0.144281,441.919,1.00528,22,Angles
23,-0.421146,0.492078,-1.25545,-0.420234,0.328555,769.087,1.00691,23,Circles
24,-0.431875,0.616932,-1.46819,-0.455281,0.596112,846.711,0.997278,24,Compound Measures
25,-0.462899,0.377913,-1.1131,-0.43767,0.129704,630.715,0.999259,25,Co-ordinates
26,-0.497596,0.538391,-1.38778,-0.503793,0.344842,766.259,0.999737,26,"Construction, Loci and Scale Drawing"
27,0.0618038,0.618726,-0.937447,0.0935761,1.00904,889.868,0.999166,27,Symmetry
