i,mean,sd,q05,q50,q95,neff,rhat
1,0.163318,0.94498,-1.42125,0.159842,1.63924,1135.92,0.997314
2,-0.473036,0.897622,-1.94284,-0.4775,1.00772,1417.78,0.997057
3,-0.029341,1.00526,-1.54178,-0.0683643,1.55333,1175.87,0.997032
4,-0.322994,0.961036,-1.92422,-0.294106,1.38982,1420.74,0.99674
5,0.0765184,0.983382,-1.56075,0.0551252,1.66315,1398.49,0.997252
6,0.225245,1.00657,-1.34918,0.232235,1.74907,1372.75,0.997026
7,-0.255488,1.06131,-1.92781,-0.267128,1.50875,1666.89,0.999193
8,-0.254799,0.878766,-1.7328,-0.247051,1.123,1253.45,0.997499
9,0.265263,0.926798,-1.21836,0.269762,1.75901,1031.63,0.999033
10,-0.53723,0.899767,-1.96198,-0.600191,0.882749,1366.48,0.997976
11,0.532827,0.704165,-0.662068,0.585184,1.62007,995.419,1.00174
12,0.165974,1.06099,-1.59008,0.162422,1.95969,818.59,0.998613
13,0.580303,0.802209,-0.769557,0.554122,1.92659,1143.64,0.999177
14,0.171309,0.874234,-1.24656,0.147831,1.55101,1272.82,0.999046
15,0.1649,0.964211,-1.49862,0.197059,1.7157,1666.89,0.997371
16,-0.474682,0.988918,-2.07356,-0.469981,1.16664,1423.87,0.997278
17,0.189318,0.916687,-1.32646,0.169426,1.86643,1416.43,0.99914
18,-0.446186,0.976879,-2.09752,-0.451455,1.18418,1433.4,0.998719
19,-0.401852,0.917598,-1.87305,-0.426408,1.11306,1060.28,0.99789
20,0.184247,0.968246,-1.37213,0.217142,1.63293,1666.89,0.998484
21,0.139778,0.968879,-1.36985,0.116052,1.70252,1055.47,0.997469
22,0.197706,0.914062,-1.28024,0.18434,1.71836,1420.0,1.00125
23,-0.0965659,0.912784,-1.67401,-0.120095,1.42977,1248.24,0.997511
24,-0.144415,0.939151,-1.66712,-0.146741,1.42039,1666.89,0.997423
25,0.241889,0.847505,-1.185,0.243265,1.64104,1550.92,0.99931
26,0.791018,0.812012,-0.397543,0.769649,2.06288,1666.89,0.997279
27,-0.593966,0.753792,-1.79115,-0.606553,0.663432,1186.72,0.999341
28,0.237679,0.979794,-1.36387,0.260309,1.87884,1460.85,0.997847
29,-0.200714,0.946217,-1.7477,-0.204078,1.34406,1169.41,0.996731
30,0.450881,0.844639,-0.891909,0.431844,1.8424,1263.67,0.997621
31,0.116778,1.03603,-1.61436,0.0783653,1.7245,700.892,0.998019
32,0.367546,0.948149,-1.14263,0.358452,1.87059,1666.89,0.997397
33,-0.249963,1.05258,-1.88763,-0.233591,1.48794,1152.07,0.998056
34,0.389945,0.96639,-1.21066,0.405288,1.94841,1471.42,0.997194
35,-0.120692,0.945137,-1.70394,-0.167186,1.44017,1355.43,0.999034
36,0.196948,0.973009,-1.38164,0.182471,1.74265,1271.71,1.00021
37,-0.4714,0.919392,-1.9424,-0.468299,1.01075,1263.2,1.00134
38,0.534625,0.862708,-0.856653,0.523361,1.9876,1304.63,0.997031
39,-0.371195,0.969199,-1.89594,-0.426655,1.30978,1401.92,0.998362
40,0.50428,0.992793,-1.13223,0.521231,2.19318,1346.91,0.998747
41,-0.0431584,0.942376,-1.69497,-0.020532,1.56863,1357.34,0.998365
42,-0.323491,1.01822,-1.95593,-0.352933,1.40688,1136.81,0.99867
43,0.189506,0.994304,-1.37527,0.17312,1.73691,1259.47,0.999508
44,0.349033,0.931026,-1.19236,0.345483,1.94934,780.862,1.00149
45,-0.158465,0.925502,-1.75272,-0.166758,1.39787,1330.24,0.998366
46,0.0936349,0.858993,-1.27805,0.0753242,1.58409,949.343,0.997287
47,-0.220402,1.02567,-1.85442,-0.229286,1.34914,1666.89,0.997037
48,0.415062,0.991657,-1.24495,0.408036,2.05147,1666.89,0.997201
49,-0.0311407,0.922939,-1.53066,-0.0554811,1.5157,1666.89,0.996825
50,-0.443552,1.04135,-2.0192,-0.485818,1.3211,1198.36,1.00087
51,0.210647,0.973226,-1.40073,0.224451,1.79539,1514.47,0.996845
52,-0.251465,1.00631,-1.8969,-0.299151,1.49545,1113.32,1.00241
53,0.523918,0.954836,-1.06169,0.566573,1.99814,799.719,0.999327
54,-0.284814,1.01318,-1.93403,-0.283811,1.33639,850.583,0.99716
55,0.586523,0.887008,-0.98904,0.614448,2.02291,1094.4,0.997049
56,-0.172747,0.955666,-1.71473,-0.192001,1.48585,1613.66,0.997607
57,0.467214,0.881073,-1.03078,0.444532,1.90702,1666.89,0.997102
58,0.211875,1.02584,-1.47596,0.225193,1.85615,1456.37,0.99704
59,-0.326449,0.748408,-1.65332,-0.338094,0.899142,911.032,0.998357
60,0.21654,0.953709,-1.46928,0.265672,1.71193,1278.46,0.996852
61,0.438678,0.930868,-1.17462,0.4491,1.88118,1666.89,0.997026
62,-0.520409,0.884407,-1.87339,-0.514021,0.869387,1335.82,0.998038
63,0.540736,0.931901,-0.990132,0.599129,2.08583,904.761,0.997927
