i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
1,1.00209,0.985532,0.0527672,0.684348,3.11336,682.469,0.998641,1,Maths
2,0.993977,1.03907,0.0494809,0.634615,3.32649,917.539,0.998224,2,Number
3,1.02512,1.02362,0.0610036,0.763592,3.25838,600.17,1.00416,3,Calculator Use
4,0.975014,0.832708,0.103312,0.795948,2.53268,237.578,1.00567,4,Decimals
5,0.725179,0.446654,0.0773612,0.708586,1.52817,157.62,1.0047,5,"Factors, Multiples and Primes"
6,1.03691,0.769445,0.068511,0.905809,2.45644,229.869,1.00083,6,"Fractions, Decimals and Percentage Equivalence"
7,0.436653,0.337815,0.0280534,0.367735,1.1156,261.244,0.997768,7,Fractions
8,0.602954,0.496039,0.0397028,0.483095,1.60755,136.073,1.02489,8,"Indices, Powers and Roots"
9,1.36903,0.471652,0.657759,1.34125,2.17197,157.266,1.00177,9,Negative Numbers
10,0.778027,0.628047,0.0672478,0.605413,2.04348,281.532,1.00118,10,Percentages
11,0.906106,0.85332,0.0450741,0.656267,2.52516,351.154,1.00107,11,Proportion
12,1.03069,0.899397,0.0467233,0.782387,2.78852,226.507,1.00251,12,Ratio
13,1.24082,1.05398,0.0720509,0.980849,3.47905,500.376,0.998157,13,Surds
14,1.03563,1.07984,0.0533785,0.68909,3.1257,547.2,0.999014,14,Algebra
15,1.47724,1.11623,0.0889242,1.29727,3.57817,178.558,1.00561,15,Straight Line Graphs
16,0.904013,0.881267,0.0460018,0.618402,2.80759,459.23,1.00299,16,Quadratic Graphs
17,0.432777,0.373772,0.0318403,0.330692,1.16962,521.845,1.0036,17,Inequalities
18,0.972395,0.817762,0.0478854,0.795442,2.69095,283.839,1.00637,18,Sequences
19,1.79905,0.951885,0.315282,1.72849,3.5866,113.178,1.00176,19,Writing and Simplifying Expressions
20,0.972156,0.894075,0.074712,0.725107,2.76359,725.494,1.00032,20,Transformation of Functions
21,0.998992,0.988042,0.0481895,0.685381,2.84796,729.215,0.997238,21,Geometry and Measure
22,0.767807,0.495116,0.0570722,0.744718,1.6252,147.819,1.00303,22,Angles
23,0.965237,0.850682,0.0555686,0.749492,2.61364,268.213,1.00465,23,Circles
24,1.08876,1.01106,0.0587002,0.799872,3.10842,453.442,1.0002,24,Compound Measures
25,0.703643,0.627825,0.0364883,0.54,1.86336,354.865,0.99699,25,Co-ordinates
26,1.29581,1.08338,0.0721403,1.08861,3.31636,318.848,1.00256,26,"Construction, Loci and Scale Drawing"
27,1.69966,1.45371,0.0700266,1.35734,4.49394,369.337,0.999662,27,Symmetry
28,0.843938,0.827284,0.0388215,0.596164,2.39532,515.302,0.997548,28,Basic Trigonometry
29,0.562252,0.478801,0.0502537,0.423914,1.50785,249.792,0.998591,29,Units of Measurement
