"user_skill[1,1]","user_skill[2,1]","user_skill[3,1]","user_skill[1,2]","user_skill[2,2]","user_skill[3,2]","user_skill[1,3]","user_skill[2,3]","user_skill[3,3]","user_skill[1,4]","user_skill[2,4]","user_skill[3,4]","user_skill[1,5]","user_skill[2,5]","user_skill[3,5]","user_skill[1,6]","user_skill[2,6]","user_skill[3,6]","user_skill[1,7]","user_skill[2,7]","user_skill[3,7]","user_skill[1,8]","user_skill[2,8]","user_skill[3,8]","user_skill[1,9]","user_skill[2,9]","user_skill[3,9]","user_skill[1,10]","user_skill[2,10]","user_skill[3,10]","user_skill[1,11]","user_skill[2,11]","user_skill[3,11]","user_skill[1,12]","user_skill[2,12]","user_skill[3,12]","user_skill[1,13]","user_skill[2,13]","user_skill[3,13]","user_skill[1,14]","user_skill[2,14]","user_skill[3,14]","user_skill[1,15]","user_skill[2,15]","user_skill[3,15]","user_skill[1,16]","user_skill[2,16]","user_skill[3,16]","user_skill[1,17]","user_skill[2,17]","user_skill[3,17]","user_skill[1,18]","user_skill[2,18]","user_skill[3,18]","user_skill[1,19]","user_skill[2,19]","user_skill[3,19]","user_skill[1,20]","user_skill[2,20]","user_skill[3,20]","user_skill[1,21]","user_skill[2,21]","user_skill[3,21]","user_skill[1,22]","user_skill[2,22]","user_skill[3,22]","user_skill[1,23]","user_skill[2,23]","user_skill[3,23]","user_skill[1,24]","user_skill[2,24]","user_skill[3,24]","user_skill[1,25]","user_skill[2,25]","user_skill[3,25]","user_skill[1,26]","user_skill[2,26]","user_skill[3,26]","user_skill[1,27]","user_skill[2,27]","user_skill[3,27]","user_skill[1,28]","user_skill[2,28]","user_skill[3,28]","user_skill[1,29]","user_skill[2,29]","user_skill[3,29]","user_skill[1,30]","user_skill[2,30]","user_skill[3,30]","user_skill[1,31]","user_skill[2,31]","user_skill[3,31]","user_skill[1,32]","user_skill[2,32]","user_skill[3,32]","user_skill[1,33]","user_skill[2,33]","user_skill[3,33]","user_skill[1,34]","user_skill[2,34]","user_skill[3,34]","user_skill[1,35]","user_skill[2,35]","user_skill[3,35]","user_skill[1,36]","user_skill[2,36]","user_skill[3,36]","user_skill[1,37]","user_skill[2,37]","user_skill[3,37]","user_skill[1,38]","user_skill[2,38]","user_skill[3,38]","user_skill[1,39]","user_skill[2,39]","user_skill[3,39]","user_skill[1,40]","user_skill[2,40]","user_skill[3,40]","user_skill[1,41]","user_skill[2,41]","user_skill[3,41]","user_skill[1,42]","user_skill[2,42]","user_skill[3,42]","user_skill[1,43]","user_skill[2,43]","user_skill[3,43]","user_skill[1,44]","user_skill[2,44]","user_skill[3,44]","user_skill[1,45]","user_skill[2,45]","user_skill[3,45]","user_skill[1,46]","user_skill[2,46]","user_skill[3,46]","user_skill[1,47]","user_skill[2,47]","user_skill[3,47]","user_skill[1,48]","user_skill[2,48]","user_skill[3,48]","user_skill[1,49]","user_skill[2,49]","user_skill[3,49]","user_skill[1,50]","user_skill[2,50]","user_skill[3,50]","user_skill[1,51]","user_skill[2,51]","user_skill[3,51]","user_skill[1,52]","user_skill[2,52]","user_skill[3,52]","user_skill[1,53]","user_skill[2,53]","user_skill[3,53]","user_skill[1,54]","user_skill[2,54]","user_skill[3,54]","user_skill[1,55]","user_skill[2,55]","user_skill[3,55]","user_skill[1,56]","user_skill[2,56]","user_skill[3,56]","user_skill[1,57]","user_skill[2,57]","user_skill[3,57]","user_skill[1,58]","user_skill[2,58]","user_skill[3,58]","user_skill[1,59]","user_skill[2,59]","user_skill[3,59]","user_skill[1,60]","user_skill[2,60]","user_skill[3,60]","user_skill[1,61]","user_skill[2,61]","user_skill[3,61]","user_skill[1,62]","user_skill[2,62]","user_skill[3,62]","user_skill[1,63]","user_skill[2,63]","user_skill[3,63]","user_skill[1,64]","user_skill[2,64]","user_skill[3,64]","user_skill[1,65]","user_skill[2,65]","user_skill[3,65]","user_skill[1,66]","user_skill[2,66]","user_skill[3,66]","user_skill[1,67]","user_skill[2,67]","user_skill[3,67]","user_skill[1,68]","user_skill[2,68]","user_skill[3,68]","user_skill[1,69]","user_skill[2,69]","user_skill[3,69]"
0.7961,0.905959,-0.400601,2.78099,2.76219,2.42555,-0.0974025,-0.35163,-1.54698,-0.463079,-0.19826,-0.307302,-0.10363,-0.334452,-0.493744,-1.14234,-0.586713,-0.264942,-1.85044,-1.11607,-0.401064,-0.72088,0.254577,-0.25219,-5.10137,-1.98368,-1.30594,0.30966,0.316284,0.347209,-2.50529,1.38302,-2.41979,-1.19875,-0.212186,2.47418,2.79141,1.29046,3.81282,-0.108347,0.123192,-0.0315846,2.735,-0.116048,0.664768,-1.36516,0.434149,-0.67043,1.63121,0.179976,-0.670985,-2.65976,-1.05599,-2.5898,-2.91591,-1.77492,1.54341,-1.7157,-1.09886,-0.480534,0.761627,0.548921,0.796805,-0.235243,-0.400971,0.24888,-0.281366,-1.0067,-0.336773,0.419294,-0.0971755,-1.41523,0.0361232,-0.208409,-1.72954,-0.581528,-0.71498,-0.415888,-1.24623,3.87467,-1.8961,-1.03831,-0.343187,-0.251584,-0.718261,-0.296689,-1.33976,-1.1482,0.49334,-0.179497,-3.48527,-0.446606,-1.26265,1.04883,-1.56979,0.612212,4.40563,6.6607,4.90028,0.7382,0.4161,0.87511,-3.88406,4.77087,-7.85903,-0.130317,-0.693307,-1.86899,0.760194,1.07022,0.24575,-1.26055,-0.232015,-1.11997,-1.21568,-0.803194,-0.375136,0.160787,-0.47172,-2.39022,2.23406,-0.532661,-0.682044,-1.74941,-1.07551,-0.442823,1.23714,0.266936,0.355094,-0.644887,0.118236,-1.50962,1.41299,4.34356,2.38707,-1.614,-1.38726,-0.173055,-0.360963,-1.16568,-0.398529,-3.07106,2.05422,-3.41597,-0.416284,-1.37488,0.214626,1.19866,-0.378029,-2.23579,-0.653363,-2.05042,-1.94121,-0.470012,-0.368187,0.40017,0.0884742,-1.58486,-1.19048,-1.5253,0.0444724,0.444667,-0.957142,-1.01488,-0.775467,-0.313026,-1.57953,-2.26882,-1.2715,-0.876724,-1.36833,-0.563253,-1.12783,0.0159038,-2.84417,-3.16394,6.36362,1.47954,1.20038,2.16465,0.331178,0.644516,-0.139777,-1.2233,-0.584462,0.456381,2.0652,3.97378,-0.203078,-0.443258,-1.02231,-1.15983,0.289698,-1.43511,-0.345808,-1.29816,0.0456069,-1.05564,1.66904,-1.53003,-0.00990915,-5.81537,0.431369,-4.19505,-0.960381,0.465557,0.613707
-1.21802,-3.03618,2.29292,0.270826,0.474277,0.552265,-0.542494,-1.43364,-2.17992,0.720266,0.866583,0.777209,-2.28683,-0.750136,1.20067,0.031734,-0.834747,0.176207,-1.31311,-3.26666,-0.462605,-1.16433,-0.18061,-0.263633,1.09148,0.396945,-2.60819,-1.22287,-0.607524,0.423047,-0.248667,0.0937799,-1.30343,0.152496,0.406778,-0.865921,-1.70087,-1.7021,-2.01968,0.227112,0.266624,0.253286,1.37857,2.65379,-1.18663,0.798081,0.355875,0.0540502,-0.378775,-0.502138,-0.270285,0.843295,-0.833439,-1.04788,-0.478084,-1.97019,-3.30318,0.6222,0.368623,1.16008,-3.44987,0.0126695,-0.193657,0.826205,1.33286,-1.40129,-0.443008,0.0214646,0.297082,-0.510934,-4.23295,-2.19558,-0.718508,-0.199811,-1.49823,-1.22512,1.68202,1.89066,0.24841,-2.15091,-1.07577,0.37471,-1.59935,-3.46701,-0.130267,-0.332409,0.792741,-0.822484,1.85087,-0.372467,4.16176,-1.11645,0.693877,0.775356,0.829416,0.575405,1.06219,0.805716,0.672179,0.307403,-0.959284,-1.53539,1.53934,1.37833,1.99011,-0.926225,0.786821,2.30143,1.65054,2.05021,0.321149,1.83676,2.12596,2.94784,6.55258,0.00102068,5.0723,0.501255,0.261005,1.57263,2.6064,1.88962,0.91166,-0.838989,-0.91271,-0.0406141,-0.819383,-0.758331,0.168969,-2.0104,-2.36236,1.89419,-0.618969,-1.78708,-2.96798,1.79401,1.63568,1.57044,-1.02969,-2.52514,-0.859802,2.20662,-0.863116,-1.92416,-2.27096,0.598848,-0.555064,-2.26649,-0.779178,-0.847875,-1.67455,-1.3197,-1.52229,-0.43905,-0.469451,-0.603214,-0.885472,1.55924,-0.0511868,3.01792,-2.45655,0.774152,-1.89129,2.0939,9.2958,-0.923847,-0.909862,-0.701978,-0.98647,-1.16129,-2.66814,-1.08917,-0.19204,-0.341814,1.30403,0.626542,0.319567,1.71545,0.452898,0.231193,0.0469468,0.0697638,-0.518011,0.555497,-4.87165,-2.85766,0.503356,1.56641,-1.51405,-5.04396,-0.759588,-5.28358,-0.559996,0.523525,0.234401,0.0406124,2.56523,1.0431,-1.96906,-1.51256,0.109587,0.285306,0.406243,0.401994,-1.74879,-4.7651,-2.1403
0.792161,0.484471,-0.629886,-1.5816,-1.24201,-1.29399,0.449569,0.59498,1.20291,-0.934406,-0.476482,-0.156909,0.220651,-0.27549,-2.08755,-1.91204,-0.404528,-1.33665,-1.99358,1.97837,-1.97485,-1.4338,-0.780077,-0.586387,-1.67828,-0.595949,0.767818,-0.239379,0.104676,-0.0536728,-1.04741,-1.19052,-0.185969,-0.31491,-0.504822,0.078696,2.25612,0.95202,1.90707,0.00374324,0.105125,-0.0682076,0.711157,-2.42741,0.232661,-2.34386,-1.78329,-2.07968,-0.804601,-0.750608,-1.42892,-3.14401,-1.45694,-1.49004,-0.83042,-1.90269,3.28172,-2.01469,-1.80081,-2.84763,1.44812,-0.174585,-0.529682,-1.16115,-1.08944,0.226048,0.230764,-0.065778,0.326716,0.183602,0.225381,-0.0668428,-0.136066,0.102738,-0.53888,-0.396148,-1.80953,-1.55506,-3.18883,2.83697,-0.174343,-0.796151,-0.1414,0.376235,-0.11388,0.30074,-0.381894,-2.0925,-1.89017,-1.00827,-10.89,-1.23057,-2.28759,-3.1994,-1.69804,-3.24657,-0.440966,-0.366416,-0.0181424,-0.180341,0.718877,1.57006,-0.854867,0.0244281,-2.26331,1.98808,-1.27869,-6.2958,-0.987374,-2.00912,-0.404791,-1.95716,-4.235,-7.10344,-1.74234,-1.28045,-1.44038,-1.17664,-1.74508,-1.91798,-0.330988,-0.380765,-0.559544,-0.488653,0.233547,-0.357295,1.1809,1.33625,1.53267,0.371444,1.3732,-1.95197,-0.011067,1.57885,1.14437,-1.8645,-2.20641,-2.16341,-1.5151,0.380235,-1.17807,-2.74731,-0.0652793,0.237705,0.496457,-1.23134,-1.40922,0.283038,-0.478066,-1.47535,-1.04732,-3.00275,-2.40667,-0.966687,-0.993053,-0.775687,-0.918847,-0.932819,-1.40239,-1.39821,-0.24612,1.16109,-0.0791962,-0.609824,0.615242,-1.1957,-1.65466,-2.07413,2.12757,1.19447,-0.543672,0.193648,-2.87455,-1.40149,-3.41177,-1.38163,-0.464479,-6.41864,2.61808,2.8384,0.331824,-1.83921,1.23917,0.638082,3.0523,2.22564,0.608858,0.612008,-0.311032,1.27427,-1.4198,1.22796,-0.255003,-0.150061,-0.892783,-0.792727,-3.82653,-2.01364,1.95313,2.18066,-0.0219493,-4.24967,1.50108,-0.283526,-0.229618,-0.200949,-0.384877
-2.38991,-0.459932,2.54729,1.38061,1.51205,1.28031,-0.687907,0.648355,-1.53155,0.75891,0.385736,0.422022,-4.66391,-0.234063,1.79388,-0.550351,-0.30933,0.145643,-1.67992,-1.36477,-0.219145,-0.209409,0.33355,-0.331404,-0.326345,-0.415566,-1.57209,-1.66259,-0.867066,0.0742695,-0.449338,0.923656,1.20155,0.571232,0.440643,-1.15076,-0.492721,-0.771566,-1.55625,-0.221733,-1.04697,1.0822,-2.6143,0.284001,-1.45185,1.25583,0.641429,0.547476,0.614291,0.273491,0.313429,-1.24207,-1.23304,-1.45866,-0.325778,-1.83944,-1.95854,0.60362,0.365902,0.698321,-1.73438,0.661684,0.338719,0.0229637,0.807466,0.0707895,-0.185651,0.116548,0.574948,-0.687601,-1.44641,-0.582098,-0.772111,-0.415887,-0.571116,-2.58905,2.43116,4.25803,0.835253,-1.22403,-0.0197994,0.0899199,-0.310037,-1.16949,-0.728548,-0.698838,0.286886,0.815369,0.591684,-0.264252,2.94036,-0.336863,0.00597784,0.720111,0.719438,1.02932,0.227003,0.316293,0.259652,0.723769,-3.57345,-2.2344,0.498773,-0.537833,1.28843,-1.06289,-0.107507,1.68431,0.589195,0.996784,0.374014,1.87267,2.19723,2.63372,1.1308,0.456347,1.27125,-0.390053,0.306072,0.108129,1.47419,0.735656,-0.174385,-0.435777,-1.01959,-1.47934,-0.634644,-0.784398,-1.19488,-1.20956,-1.46177,0.416618,-0.285566,-1.05089,-1.97946,0.768321,0.101189,1.60922,-1.10892,-2.94824,-0.573675,2.45148,-0.49481,-2.02088,-2.94815,2.03484,1.19085,-2.49024,-1.11162,-1.29361,-2.05563,-2.24304,-1.52203,0.584288,0.35853,0.0268719,0.863636,0.635994,0.0905774,0.881683,0.1172,-2.41177,-0.859268,0.88274,-0.878029,-0.926264,-1.1133,-0.768294,-3.67006,-3.11207,-0.592333,-1.34205,0.507358,0.704696,0.517387,-1.76917,-2.06568,1.3909,0.362267,-0.157281,-0.713166,0.0157872,-1.61954,-0.142125,-2.44176,-3.71149,-0.892654,1.8263,0.362561,-1.04061,-0.0149997,-1.08009,-0.889845,0.0407133,0.323763,0.475153,1.06896,0.204353,0.145303,-0.168513,0.918507,0.166455,0.537436,0.426891,-0.658447,-1.97115,-1.78426
0.36304,-0.229,-0.779437,-1.69398,-1.44135,-1.535,-0.354766,-0.201405,0.59631,-0.673977,-0.00331873,0.365771,0.4869,-0.352461,-2.89131,-0.265327,-0.0403134,-0.0850759,-0.972303,-0.353066,-0.921115,-0.725195,-0.313573,-0.711415,-1.67288,0.00432773,-1.67389,-0.312482,-0.258664,-0.164718,-0.187222,-0.44895,-0.371093,0.39306,-1.74716,1.70837,-0.742485,-0.148618,-0.410265,0.422297,1.17146,-1.01822,-0.305951,-6.14835,5.84002,-2.2963,-1.01184,-1.23916,-0.542677,-0.637045,-0.655253,-2.30368,-0.873633,-0.981942,-1.126,-0.635991,1.03567,-1.21725,-1.06881,-1.6739,-0.111295,-1.73903,-1.15879,-0.917037,-0.442966,0.201572,0.725419,0.201454,0.386618,-1.04373,0.975233,0.902533,-0.519475,-0.492661,-0.0486653,0.115312,-1.38398,-1.40933,-5.13414,2.52351,0.489233,-0.795691,0.333826,1.05319,0.173735,0.38923,-0.690327,1.11491,-1.76915,0.280303,-6.49501,0.649183,-1.44495,1.82743,-2.51511,-6.04447,-0.549267,-0.700671,-0.27663,-0.743546,2.40214,0.709469,0.00983506,0.612602,-1.41143,1.53984,0.632671,-2.01441,-0.340335,-1.00935,-0.938143,-2.38894,-3.25349,-3.05752,-1.31523,-1.29264,-1.51669,0.438562,-0.344973,0.220374,-1.84116,-2.44548,-0.0261592,-0.59349,-0.150022,-0.475597,0.617276,0.737505,1.10652,1.08526,1.80994,-0.503578,-2.40748,4.20287,-0.853788,-0.744474,-0.259918,-1.11065,-0.834467,0.0718652,-0.665927,-1.34389,0.407264,0.296636,1.31744,-2.17437,-2.14227,1.65735,0.822515,-0.63133,-0.425634,-1.25846,-1.92737,-1.648,-1.25125,3.3803,-0.830156,0.0658475,0.408416,-1.33835,-1.34858,1.54742,1.66983,-2.23504,3.69299,0.706998,-1.1163,-3.39579,-0.381848,0.477346,-0.361475,0.4288,-1.34269,-0.285013,-0.741892,0.18007,1.08227,-1.88271,0.173741,1.95933,-0.585131,-0.570761,-0.170566,0.620065,1.40739,2.61759,0.834104,0.666721,1.57434,1.54436,-1.20664,4.21315,-0.569352,-0.193696,-0.660667,-0.2769,-0.342664,-0.550952,1.01013,0.377734,-1.10287,-3.12707,-0.724388,-1.08536,0.0729842,0.571265,0.477109
-3.05153,-1.69417,0.690513,0.0645539,2.96495,2.40775,0.34944,-0.716679,-3.3713,0.184593,0.740611,1.40694,-1.603,-0.603111,0.855321,-0.562327,-0.525696,-0.331856,-1.85287,-2.0026,-0.383789,-0.722473,0.46923,-0.915241,1.76385,-0.835585,-1.29079,-0.877503,0.27458,-0.583971,0.0523676,0.474658,0.125743,0.245679,1.30758,-2.26394,-0.657107,-1.15761,-1.3383,-1.27142,-0.802419,0.858659,-1.45069,1.28011,-3.21633,1.35468,0.543077,-0.757699,-0.652883,-0.576712,-0.708478,5.11494,-2.03526,-1.45483,1.13565,-2.95747,-3.2308,1.07373,-0.348507,1.37392,-0.197464,1.16989,0.262065,-0.794023,-0.127804,0.485302,0.0879033,-0.0328837,-0.380485,1.58937,-0.601946,0.00383671,-0.0454417,-0.386456,-1.35457,-4.2749,1.34156,1.19098,2.72326,-3.7755,4.36367,-1.29328,-8.68921,-12.1904,-0.0679804,-1.43491,0.371342,0.443897,0.192607,-0.169283,2.63407,-0.759272,0.144848,0.860989,1.02257,0.906985,-0.761251,-0.133527,-0.57319,-0.58076,-1.33428,-0.875565,-0.892413,-0.48993,-0.108876,-1.61954,-0.289164,1.80981,0.521878,1.13324,1.43171,1.95061,2.23235,2.56606,0.492048,-0.577387,0.927003,-1.1708,-0.323795,-1.04608,0.317602,2.03585,1.34626,-1.36901,-1.54227,-1.74282,-0.948937,-0.0626023,-1.76129,-0.317689,-0.888476,-0.103426,-0.550784,-1.11461,-1.8862,-0.164125,1.54389,2.03378,-1.90116,-1.85583,-0.349071,0.892739,0.278917,-0.289671,-0.535272,-0.239551,0.361035,-3.55492,-2.39295,-1.81409,-2.03765,-2.08511,-3.87146,1.09277,0.503388,-3.07852,-0.285748,-0.813055,-1.44222,0.522151,-0.438935,-1.39609,-0.486852,-0.485689,-1.09035,-2.07079,-1.1723,-0.46532,-5.35416,-4.68183,-1.31541,-1.09008,-0.47015,0.0754695,0.0935756,-1.34568,-2.65438,1.04597,-0.403921,-1.81037,-3.03419,0.972962,-4.54723,-1.13921,-1.71739,-3.15121,-0.197818,0.645479,0.037889,-0.196875,-0.151796,-1.00756,-1.24112,-0.0898999,0.767598,0.161828,-0.228363,-0.0672662,-0.582839,-0.0556321,0.346512,1.2051,0.801388,1.01305,-2.27176,-1.67047,-1.30271
0.536709,-1.12983,1.21918,1.19832,-1.72958,1.2729,2.8351,0.726351,-2.73421,0.529403,1.28809,1.09439,-1.884,-1.72907,-1.02857,-0.138198,0.0550655,-0.345147,-2.03082,-1.0862,-0.422039,-0.604626,-1.002,0.169167,-0.487801,1.32189,-2.51111,-0.829344,-0.618003,-0.563269,-1.48214,0.981457,-2.35364,-0.0818624,-0.587078,1.74967,-0.319723,-0.82777,-0.815348,1.60215,2.04706,1.82835,-1.74968,-0.227079,-0.0530992,0.851944,-0.202952,-1.75257,0.118561,0.332441,-0.174938,-0.279796,-0.886589,-1.36034,-3.67842,-0.500314,-2.79005,3.27546,-1.54889,1.61604,0.154424,0.228593,0.982241,-0.591616,-0.0544162,0.307184,0.0884748,-0.256579,-1.78406,0.573431,0.0930662,2.30501,-1.39592,-0.562954,-0.401546,-1.59021,-3.99571,2.86449,2.66641,0.0590713,1.88805,0.12291,0.991262,-0.466806,-1.29588,-1.37556,-3.21,-0.0138877,-1.01864,-0.966895,2.3576,-1.74551,-1.42159,1.0836,1.13827,1.33367,-1.15535,-0.51714,0.627057,-1.41903,-2.24873,-1.49807,-1.77518,-1.0465,-0.494158,-3.53809,0.83435,2.97992,1.20381,0.623969,0.655121,0.738901,-0.351673,-0.0600802,-0.607543,-1.23775,0.0137365,-3.28606,-1.42196,2.2543,0.667399,1.33771,0.931015,-1.48743,-0.554485,0.088363,-1.40041,-0.861916,-0.661298,0.223079,0.45447,-0.671921,-0.382808,-0.301566,-1.52818,1.66202,1.63507,2.77147,-2.14915,-1.90704,-0.397193,-0.0464855,-0.0538227,-0.918608,0.603905,-0.0290378,-0.549047,0.929249,-0.852098,-2.84276,-1.07456,-0.626246,-3.68776,1.84413,1.90344,-1.47258,-1.16381,-4.12123,-1.082,-0.0260639,-0.632698,-0.936887,-0.521623,-0.541769,-1.21767,-1.30829,-1.27738,-1.02662,-4.03339,-5.60567,0.547384,-0.629463,-0.523396,-0.0330039,3.77604,-2.32098,-4.56729,-4.48557,0.377392,-1.81362,0.23051,-0.937051,-0.21964,-1.27345,-0.649784,-1.5378,-0.691624,-0.659763,0.0699782,-0.490537,0.415859,0.402739,-1.06318,-0.253133,0.130629,-1.369,-0.463334,-1.33659,-1.72842,0.00509462,-1.10838,4.95179,-0.947848,2.57729,-2.46397,-1.37397,0.102259
-0.0107989,1.44883,-0.544343,-0.26883,-0.00711796,-0.515112,-0.880204,1.04952,2.80286,-1.18367,-0.957507,1.16154,-0.464969,-0.19383,-0.792308,-2.71928,-2.09521,1.01804,-0.703388,-0.799029,-0.154514,-1.82496,0.0793381,-0.503559,-1.97173,-1.51794,0.124698,-0.374643,-0.164375,-0.750743,0.0266421,-1.84106,2.88537,0.165756,-0.424333,-1.23959,0.649511,-0.959711,1.55447,-1.24156,-1.47906,-1.22066,0.354726,-0.707014,-1.25365,-1.57239,-0.337095,-0.211765,-0.528161,-0.815572,-0.819465,-2.72463,-1.14528,-1.06212,2.75858,-1.41188,1.95807,-4.31262,1.32294,-2.0107,0.173613,-0.0666854,-5.36017,-0.350202,0.0240263,0.674814,-2.02082,-1.3021,3.58005,-1.02731,-0.46206,-1.12119,-0.181578,0.0092365,1.14787,0.841924,0.889303,-0.85383,-0.990351,-0.0187873,-0.564222,-1.46473,-1.70941,-1.15828,-0.292179,2.542,2.0396,-1.23203,0.147734,0.0986429,1.96697,3.51478,1.70231,-1.05563,-1.00053,-1.88825,1.44595,0.262115,-1.20525,0.806315,0.963589,-0.0241325,2.67722,0.984518,0.0420832,2.00777,0.807243,1.14248,-0.0550168,-4.64758,-0.141352,-0.232994,0.406559,0.385588,1.21929,1.51173,0.583862,1.12218,0.173458,-0.144993,-0.705698,0.889001,0.91565,-0.833967,-0.252407,-1.16733,2.66124,-0.222077,-0.488687,-2.15678,-0.311705,2.79443,4.66356,-2.81315,-0.708983,-1.90526,-2.38442,-2.4266,1.98105,0.3313,-1.34506,-1.1067,-0.955709,-1.68716,-0.743918,-0.775524,0.0295734,-1.27211,0.808589,1.77969,-2.85992,-2.9009,-1.58866,-1.99667,-2.25967,-0.599401,-0.898044,0.0958851,-0.089944,0.459675,-2.3309,0.388837,0.0153344,-0.347837,0.544332,-1.03501,-1.28035,-1.66644,-0.995976,0.0849375,-0.69725,-0.0368353,-0.976567,-0.91323,-0.781613,0.0427164,1.20184,1.65536,0.90111,0.812418,0.670059,2.02472,0.0788453,1.41661,0.83237,0.755497,-0.328164,0.763512,0.759608,-0.990385,-0.739799,-1.02477,-0.78783,0.18472,-0.859521,-0.0264385,-0.691931,-0.117577,0.544702,0.260737,0.487936,-3.10399,-1.18004,-2.35183,1.71463,-0.00673216,-0.60431
-1.2971,-1.56834,0.370633,0.824561,-1.87274,0.198184,2.78324,-1.14552,-2.11347,0.501529,0.894549,0.608252,-1.19339,-0.626253,-0.131298,1.50087,0.948467,-1.66403,-1.27405,-0.575387,-0.858625,-0.863515,-0.617693,0.00171817,2.1321,0.303406,-2.91866,-0.512652,-0.254947,-0.195658,0.0813745,0.910093,-3.34088,0.0990789,-0.399166,3.85222,-2.40107,-2.12023,-4.84706,1.94671,2.28253,2.24442,-2.2061,-1.95156,-1.11503,0.259436,-0.0243403,-0.693149,-0.0260443,-0.152722,-0.721488,2.25742,-0.718077,-1.36584,-0.905317,-0.920756,0.214731,0.7426,-0.810681,0.264905,-0.809851,-1.79513,-1.01862,0.240971,-0.0403314,-0.673027,0.529886,-0.145512,-0.741235,-0.407561,-0.955656,-0.056724,-1.02583,0.046062,-0.902756,-2.3049,-2.53667,1.03599,0.131657,0.217054,0.877597,-0.0859138,0.308835,0.132897,-0.560402,-1.87765,-3.3824,-0.0688903,-0.639967,-0.498211,0.51318,-5.28623,-3.16639,1.12858,1.50592,3.52149,-2.23688,-0.639514,0.350512,-0.410077,-0.969398,-1.58552,-6.50954,-0.44712,4.76376,-0.723357,-0.0957485,0.327383,1.4751,1.02858,1.08939,-0.546783,-1.41429,-1.33777,-4.1776,0.0820043,0.900803,-1.76428,-2.45497,2.93885,-0.276512,0.403171,0.145832,-1.49772,-0.494997,0.127423,-2.07655,-0.592879,0.421722,-1.64915,-1.01608,-2.17747,-1.08562,-0.130517,-0.754673,1.54678,2.05076,2.78727,-1.96756,-1.78166,-0.24729,3.39758,2.48622,1.04186,0.601818,0.969551,-1.2772,0.0319775,0.19856,-1.74783,0.330422,-0.626523,-2.16944,1.33199,0.499235,0.0713442,-0.265107,0.109554,-0.0833581,-0.338953,-0.264134,-0.522984,0.287605,0.225533,-1.59484,-0.975094,-0.594849,-0.600887,-2.71526,-0.628363,-0.830738,-0.802833,0.0822919,0.415355,-0.863896,-1.15295,-3.93798,-2.03575,0.107604,-2.31327,1.4851,1.09345,1.67006,-2.21643,-1.19951,-2.07631,1.75058,0.261383,3.40147,0.154177,0.278317,-0.207829,1.00769,-1.83124,1.65676,0.321717,0.0677961,-0.192486,-1.84534,-0.264021,0.0696843,4.58174,-0.780247,1.60812,-4.90522,0.363213,-0.613717
2.09122,1.34696,0.455309,0.274137,0.737216,-0.43835,-1.18948,0.425488,1.60933,-0.805009,-0.71227,1.54974,-0.725689,0.535708,-0.0560928,-1.67599,-0.61927,-0.932696,-1.87984,-1.28682,-0.627468,0.323993,0.0188429,-0.748601,-2.87402,-1.36324,-0.37394,-1.65558,-0.936634,-0.231745,-1.64633,-0.747737,0.0040162,0.732578,-0.698393,-1.62744,-0.834813,-0.299822,0.229938,-1.11145,-1.36918,-0.837493,0.387882,-0.62363,0.356436,-0.614949,-0.191746,-0.398903,-0.144349,-0.446829,-0.280773,-6.13158,-2.52939,-0.562651,0.761653,-0.871819,-3.03947,-4.57572,-0.308649,-4.21866,0.186537,1.48385,0.693223,-1.2905,-0.225169,0.0314827,-1.72606,-0.35962,0.596188,-0.0790855,-0.195949,0.0343524,0.0814133,0.731267,-0.443039,-0.205686,-0.268718,-1.18647,-1.08118,0.585567,0.134499,-0.681016,-1.12801,-1.148,-1.1617,-0.15597,-0.281453,-0.789115,-0.225715,0.171095,0.299794,1.16463,0.381402,-1.18059,-1.28921,-6.18368,9.54051,0.70635,-7.52308,0.593688,0.418883,0.653398,2.50932,0.589809,-1.07847,0.608794,0.0946067,0.0754653,-1.18148,-1.4729,-1.87742,0.371436,1.09548,1.44789,0.976353,1.00139,0.776603,1.31962,1.30468,-2.33147,0.670597,0.253356,0.714345,-1.17835,-0.834808,-1.75214,1.63662,0.529821,0.124118,0.358278,0.68848,0.851633,-0.460017,-1.0398,-0.0577229,-0.849522,-1.79607,-2.86259,-0.355285,-0.435706,-1.06414,-2.07521,-0.966221,-1.06402,-0.627043,-1.94538,0.258264,-2.11231,0.376635,0.944821,-3.27646,-2.91862,0.226941,-1.54871,-1.26443,0.139439,-0.613382,-0.279878,-0.365434,-0.0481254,-0.96874,-1.08449,-0.216116,-0.396084,2.17724,-1.1304,-1.63154,-1.57149,-1.0326,-1.11041,-0.00778778,-0.380513,-0.991037,0.122412,0.135527,0.5052,1.34696,1.21332,0.249614,0.719658,-1.61934,-0.707111,-2.06074,2.08822,1.38865,2.23467,-1.16849,0.466742,-0.229007,-1.58008,-1.52803,-1.68463,-0.559473,-0.0468796,-1.0922,-0.972169,-0.307059,0.0535877,2.93216,-1.2094,-1.11739,-1.89165,-0.320327,-0.660995,3.03448,-0.306898,1.63285
