gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.255243,0.671547,0.82145,5.94318,1.00638
0.258614,0.674302,0.981597,5.96015,1.00599
0.248171,0.666613,0.914109,5.9206,1.00601
0.255872,0.668052,0.943257,5.93914,0.989656
0.253904,0.664958,0.861197,5.94195,1.01498
0.252048,0.659291,0.949532,5.95084,1.00653
0.247128,0.675307,0.978539,5.92442,1.00993
0.262283,0.682906,0.958325,5.91645,1.02623
0.254359,0.673208,0.95484,5.91559,1.0006
0.258848,0.669666,0.858895,5.92572,1.0091
0.236725,0.673167,0.918478,5.94527,0.995569
0.249509,0.670308,0.999434,5.92826,1.01037
0.262635,0.675251,0.986782,5.93009,1.00249
0.267733,0.671166,1.02965,5.95433,1.00322
0.251471,0.671941,0.871649,5.92939,1.00133
0.256052,0.663442,0.902535,5.92358,1.00065
0.260827,0.667041,1.01038,5.92767,1.00447
0.256301,0.670973,0.995792,5.93449,1.00836
0.245556,0.685955,0.90749,5.93421,1.00341
0.255333,0.689607,0.918532,5.92584,1.00156
0.25953,0.673987,0.921116,5.93541,1.01236
0.251983,0.680965,0.934949,5.91727,1.00599
0.256777,0.672791,0.948909,5.93244,1.03334
0.249373,0.663408,0.9267,5.91815,1.02778
0.251769,0.664723,0.949632,5.92067,1.02065
0.247808,0.675252,0.893258,5.93863,0.998328
0.254741,0.658227,0.94078,5.93189,1.01017
0.255076,0.682135,0.932036,5.91156,1.01041
0.244975,0.67142,0.950478,5.90898,1.0055
0.259499,0.678925,0.859549,5.93413,1.00819
0.255026,0.662625,0.897377,5.93054,1.01125
0.257779,0.669447,0.999568,5.93283,0.996905
0.246061,0.667557,0.869604,5.94512,1.00923
0.260483,0.647834,0.921943,5.92863,1.01143
0.256717,0.652976,0.973584,5.93258,0.998817
0.254351,0.650742,0.906907,5.93747,0.998272
0.261744,0.674197,0.906469,5.93835,1.00073
0.26601,0.656741,0.965244,5.93267,0.996953
0.253886,0.674979,0.94522,5.89813,1.01295
0.255364,0.663128,0.87203,5.93844,1.00077
0.251349,0.671906,0.920263,5.91794,0.998153
0.253913,0.673181,0.94076,5.9312,0.995291
0.256561,0.667424,1.0271,5.9417,1.00984
0.242784,0.661491,0.987512,5.93081,0.989936
0.264962,0.660388,0.908817,5.92004,1.00623
0.246127,0.676763,0.936258,5.91991,1.02949
0.254518,0.660522,0.988371,5.93602,1.00062
0.263864,0.684416,0.899723,5.91655,1.00808
0.244812,0.670304,0.977028,5.93652,1.02442
0.256071,0.676865,0.876397,5.94158,0.996475
0.259461,0.673361,0.880349,5.91862,1.0117
0.262055,0.662135,0.950238,5.92975,1.00317
0.265872,0.672934,0.886533,5.93819,0.990457
0.259918,0.663025,0.98502,5.93835,1.01572
0.264131,0.676964,0.892384,5.93848,0.990423
0.256029,0.667459,0.916215,5.91549,1.0055
0.250587,0.66982,0.993562,5.92419,1.0065
0.250736,0.675461,0.876571,5.93476,1.00104
0.254891,0.668441,0.880848,5.92746,0.993044
0.262314,0.681515,1.01359,5.93149,1.01392
0.256568,0.669771,0.916812,5.92286,1.00174
