i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
1,0.94539,0.976894,0.0325087,0.664772,2.83022,789.875,1.00015,1,Maths
2,1.02845,1.0423,0.0489843,0.685769,3.17802,940.571,0.997876,2,Number
3,0.896726,0.849124,0.0457416,0.655189,2.69897,778.096,0.999948,3,Calculator Use
4,0.714888,0.594749,0.0399231,0.576488,1.93865,158.46,1.00476,4,Decimals
5,0.278305,0.216293,0.0235131,0.232427,0.702615,178.21,0.998668,5,"Factors, Multiples and Primes"
6,0.809736,0.680224,0.0505338,0.672541,2.09338,96.1305,1.00151,6,"Fractions, Decimals and Percentage Equivalence"
7,0.370459,0.28837,0.0340949,0.305782,0.933695,97.9486,1.00929,7,Fractions
8,0.63191,0.464739,0.0494778,0.536427,1.49765,68.9137,1.04415,8,"Indices, Powers and Roots"
9,0.239903,0.175683,0.0238046,0.199829,0.577168,248.69,1.00317,9,Negative Numbers
10,0.567621,0.549791,0.0283853,0.407694,1.50477,129.413,1.00815,10,Percentages
11,0.923548,0.872995,0.0710288,0.650074,2.69398,218.22,1.00738,11,Proportion
12,0.560086,0.509852,0.0354563,0.440413,1.48852,181.946,1.01808,12,Ratio
13,0.796092,0.705046,0.0595741,0.597477,2.25982,533.128,0.996826,13,Surds
14,0.986315,0.998555,0.0372247,0.731768,2.94468,926.169,0.997008,14,Algebra
15,0.455236,0.394863,0.030039,0.344067,1.24875,243.334,0.99894,15,Straight Line Graphs
16,0.60111,0.542075,0.038623,0.445116,1.56047,395.625,0.999713,16,Quadratic Graphs
17,0.636494,0.595713,0.0426388,0.516263,1.71126,257.756,1.00053,17,Inequalities
18,1.51698,1.02293,0.156504,1.37553,3.25364,89.5089,1.01192,18,Sequences
19,0.651863,0.495366,0.0484389,0.551158,1.56719,90.3851,1.02245,19,Writing and Simplifying Expressions
20,0.881203,0.836864,0.0543524,0.64545,2.54339,415.743,0.99899,20,Transformation of Functions
21,1.00546,1.03289,0.0604807,0.719841,3.01827,1028.31,0.997681,21,Geometry and Measure
22,0.290084,0.236548,0.0142383,0.227781,0.744655,166.586,1.01575,22,Angles
23,1.59177,1.10475,0.173845,1.40612,3.69983,127.153,1.00507,23,Circles
24,0.585228,0.583603,0.022245,0.41382,1.71923,474.979,0.998996,24,Compound Measures
25,0.498952,0.415562,0.0529588,0.399734,1.33018,210.422,1.00116,25,Co-ordinates
26,1.81246,1.48172,0.111847,1.4829,4.65301,133.204,1.00978,26,"Construction, Loci and Scale Drawing"
27,1.78683,1.39716,0.131525,1.5467,4.40701,170.525,1.01234,27,Symmetry
28,1.16094,1.15101,0.0427964,0.83534,3.52825,194.65,1.0119,28,Basic Trigonometry
29,0.45418,0.410998,0.0325185,0.347907,1.21193,251.665,0.998549,29,Units of Measurement
30,0.993346,0.920542,0.0465289,0.702951,2.96064,470.103,1.00493,30,Basic Vectors
31,0.587022,0.548838,0.028342,0.451905,1.57924,213.368,1.00057,31,Volume and Surface Area
