"user_skill[1,1]","user_skill[2,1]","user_skill[3,1]","user_skill[1,2]","user_skill[2,2]","user_skill[3,2]","user_skill[1,3]","user_skill[2,3]","user_skill[3,3]","user_skill[1,4]","user_skill[2,4]","user_skill[3,4]","user_skill[1,5]","user_skill[2,5]","user_skill[3,5]","user_skill[1,6]","user_skill[2,6]","user_skill[3,6]","user_skill[1,7]","user_skill[2,7]","user_skill[3,7]","user_skill[1,8]","user_skill[2,8]","user_skill[3,8]","user_skill[1,9]","user_skill[2,9]","user_skill[3,9]","user_skill[1,10]","user_skill[2,10]","user_skill[3,10]","user_skill[1,11]","user_skill[2,11]","user_skill[3,11]","user_skill[1,12]","user_skill[2,12]","user_skill[3,12]","user_skill[1,13]","user_skill[2,13]","user_skill[3,13]","user_skill[1,14]","user_skill[2,14]","user_skill[3,14]","user_skill[1,15]","user_skill[2,15]","user_skill[3,15]","user_skill[1,16]","user_skill[2,16]","user_skill[3,16]","user_skill[1,17]","user_skill[2,17]","user_skill[3,17]","user_skill[1,18]","user_skill[2,18]","user_skill[3,18]","user_skill[1,19]","user_skill[2,19]","user_skill[3,19]","user_skill[1,20]","user_skill[2,20]","user_skill[3,20]","user_skill[1,21]","user_skill[2,21]","user_skill[3,21]","user_skill[1,22]","user_skill[2,22]","user_skill[3,22]","user_skill[1,23]","user_skill[2,23]","user_skill[3,23]","user_skill[1,24]","user_skill[2,24]","user_skill[3,24]","user_skill[1,25]","user_skill[2,25]","user_skill[3,25]","user_skill[1,26]","user_skill[2,26]","user_skill[3,26]","user_skill[1,27]","user_skill[2,27]","user_skill[3,27]","user_skill[1,28]","user_skill[2,28]","user_skill[3,28]","user_skill[1,29]","user_skill[2,29]","user_skill[3,29]","user_skill[1,30]","user_skill[2,30]","user_skill[3,30]","user_skill[1,31]","user_skill[2,31]","user_skill[3,31]","user_skill[1,32]","user_skill[2,32]","user_skill[3,32]","user_skill[1,33]","user_skill[2,33]","user_skill[3,33]","user_skill[1,34]","user_skill[2,34]","user_skill[3,34]","user_skill[1,35]","user_skill[2,35]","user_skill[3,35]","user_skill[1,36]","user_skill[2,36]","user_skill[3,36]","user_skill[1,37]","user_skill[2,37]","user_skill[3,37]","user_skill[1,38]","user_skill[2,38]","user_skill[3,38]","user_skill[1,39]","user_skill[2,39]","user_skill[3,39]","user_skill[1,40]","user_skill[2,40]","user_skill[3,40]","user_skill[1,41]","user_skill[2,41]","user_skill[3,41]","user_skill[1,42]","user_skill[2,42]","user_skill[3,42]","user_skill[1,43]","user_skill[2,43]","user_skill[3,43]","user_skill[1,44]","user_skill[2,44]","user_skill[3,44]","user_skill[1,45]","user_skill[2,45]","user_skill[3,45]","user_skill[1,46]","user_skill[2,46]","user_skill[3,46]","user_skill[1,47]","user_skill[2,47]","user_skill[3,47]","user_skill[1,48]","user_skill[2,48]","user_skill[3,48]","user_skill[1,49]","user_skill[2,49]","user_skill[3,49]","user_skill[1,50]","user_skill[2,50]","user_skill[3,50]","user_skill[1,51]","user_skill[2,51]","user_skill[3,51]","user_skill[1,52]","user_skill[2,52]","user_skill[3,52]","user_skill[1,53]","user_skill[2,53]","user_skill[3,53]","user_skill[1,54]","user_skill[2,54]","user_skill[3,54]","user_skill[1,55]","user_skill[2,55]","user_skill[3,55]","user_skill[1,56]","user_skill[2,56]","user_skill[3,56]","user_skill[1,57]","user_skill[2,57]","user_skill[3,57]","user_skill[1,58]","user_skill[2,58]","user_skill[3,58]","user_skill[1,59]","user_skill[2,59]","user_skill[3,59]","user_skill[1,60]","user_skill[2,60]","user_skill[3,60]","user_skill[1,61]","user_skill[2,61]","user_skill[3,61]","user_skill[1,62]","user_skill[2,62]","user_skill[3,62]","user_skill[1,63]","user_skill[2,63]","user_skill[3,63]","user_skill[1,64]","user_skill[2,64]","user_skill[3,64]","user_skill[1,65]","user_skill[2,65]","user_skill[3,65]","user_skill[1,66]","user_skill[2,66]","user_skill[3,66]","user_skill[1,67]","user_skill[2,67]","user_skill[3,67]","user_skill[1,68]","user_skill[2,68]","user_skill[3,68]","user_skill[1,69]","user_skill[2,69]","user_skill[3,69]"
-1.42113,0.570568,-3.51881,4.33958,0.085743,1.94218,0.418612,0.514015,-0.0141193,-0.0487868,0.183087,-0.571943,-1.09634,0.115269,-1.07292,-0.0412551,-0.928616,-0.675166,0.320776,-0.747385,-0.707837,-0.187005,-0.527779,-0.339759,-0.399786,-0.237145,-0.41845,-0.106919,-0.166721,-0.588373,-1.03737,-0.326846,-0.719777,-1.55644,-1.38116,-0.649709,-1.68114,-1.60428,-0.932359,-0.234477,-0.832271,1.32676,-0.756604,-0.627583,-0.475183,-1.09879,-0.618775,-1.09585,-0.237645,-1.01545,0.489745,-2.20368,2.30106,-2.64662,0.97694,-0.516336,-1.88475,-1.20573,-1.82102,-2.21835,1.07386,1.99754,0.852315,-0.620035,-0.142893,-0.538055,0.518428,-2.83094,-5.16614,-0.395557,-0.624621,-0.0473723,-0.746233,-0.702033,-0.673659,-0.309183,-0.349349,-0.12088,-5.26288,-1.12733,1.6326,1.21895,1.2071,0.114873,-0.116494,-0.345852,0.344264,-1.86008,-1.03541,-0.478698,0.955642,-0.907157,0.616523,-1.02564,-1.8037,3.78306,-1.1972,-1.25379,-1.24367,0.500837,0.779808,0.50091,1.57941,2.28889,1.65111,-0.3206,-0.105272,-0.424181,-0.43088,-0.179419,-0.23411,-1.98044,0.116291,1.37409,0.507492,0.812838,1.19737,-0.367233,-0.540231,0.220557,0.251492,0.783538,-1.79052,-3.68531,0.0881867,-2.25819,0.255354,0.0391572,0.543648,0.201715,0.123135,0.0148796,-0.843395,-2.46415,-3.11849,1.54827,1.29408,1.24251,-0.925825,-1.51902,-1.51904,0.0950323,-0.169395,-0.435831,-1.10132,-0.447424,-0.210665,-0.794642,-0.711218,-0.609628,0.194839,-2.41101,-1.98181,-4.70433,0.0155801,0.670975,1.87231,-2.2278,1.83344,-0.738296,-0.272693,-0.65461,3.02729,0.13243,-3.14278,0.52482,-0.943944,0.15495,-1.15001,-0.302065,-1.0994,-1.74733,-1.38513,-0.815326,0.710993,0.626909,2.07137,2.28159,1.66339,-2.39119,-3.74578,2.56432,-1.67344,1.09247,0.0761297,-1.16165,2.74942,1.1417,0.749908,-0.650829,-0.678322,-0.755437,0.363427,-0.914948,-0.887658,-0.308971,-0.460587,-0.457881,-0.756794,-0.85841,-0.762318,-2.02725,2.29422,0.585668,1.09605,-0.212906,-0.461981
1.02008,0.92026,0.951147,-0.560517,-0.512407,-0.396207,0.440445,0.512632,2.11026,0.5706,0.406135,0.452679,0.0653507,-0.820555,-0.257983,-0.112973,-0.322356,-0.347169,-0.990805,-0.393385,-0.205744,0.432002,0.484948,0.522099,-0.496046,-0.829443,-0.30831,0.413158,0.169737,0.188937,0.0975244,0.0866868,0.0885711,-0.0771622,-0.306644,-0.305838,-0.702238,-0.943874,-0.770402,0.711367,0.7183,0.297769,0.158817,0.152497,-0.0529688,-0.610266,-0.981149,-1.08034,-0.177687,-0.206318,-0.34397,0.246519,-2.0647,2.145,-1.09571,-0.615742,0.556266,-0.111683,0.613977,-0.321666,-1.33033,-0.475989,-1.99136,-0.274486,-0.684724,-0.272234,-1.63038,-0.649443,-0.369899,-1.27174,-0.985718,-1.43344,-0.403068,-0.678513,-0.602192,-0.852841,-0.653266,-0.95056,9.44262,2.69982,-1.97972,0.00814158,0.10189,0.333616,-0.0084927,0.397118,0.0359755,0.961821,1.13237,1.38307,-0.906001,-0.911695,-0.933332,0.622518,0.467589,0.0601003,-0.765202,-2.1774,-2.90955,-1.50355,-2.33959,0.560282,-0.888907,-1.02957,-0.232319,-1.53418,-2.39382,1.94947,5.09377,-3.29564,2.48976,-0.017341,0.0742678,0.15105,0.925036,0.941797,0.856651,1.89009,0.891469,-2.69616,3.12949,-2.88181,4.10005,0.0606875,-1.2607,-0.0422439,-0.448594,-0.363775,-0.384419,0.3586,0.253997,0.230984,1.91939,0.774794,0.204946,-8.71022,-4.64348,2.07329,-0.322546,-0.170301,-0.273393,-1.91482,-0.765717,0.271393,-0.563495,-0.713799,-0.558976,-1.73116,-1.59293,-1.452,-5.11609,3.5795,1.34495,3.38922,-1.94118,-0.252772,1.12228,1.9567,-0.0171776,0.158874,-0.754322,0.610622,-1.39769,-0.971888,-0.476334,-0.512771,-0.339282,-0.286231,-0.706374,-0.711534,-0.580137,1.10924,-0.657709,-2.46617,-0.506553,-0.50797,-0.548899,-0.864809,-0.875765,-0.723757,-0.457955,-0.941328,-0.0312015,-1.67255,-0.993888,-1.65302,0.525588,-0.758822,0.0541992,-0.0636632,-0.0543834,-0.0293122,-0.526438,0.457745,0.75221,0.643556,-0.753671,0.847034,-1.29824,-0.269793,-2.38169,-1.03427,-1.65113,-1.72702,0.137065,0.772143,1.03067
-1.16888,-1.09949,-1.0394,0.876871,0.701499,0.0699845,1.42678,1.9281,-0.773107,-0.244806,-0.289906,-0.86839,-1.62189,-0.302078,-1.57952,-2.92771,-0.429255,-1.09847,0.0747391,-0.0827578,-0.139916,-1.78072,0.214308,1.19868,-0.511588,-0.492523,-0.54837,-0.919283,-0.673621,-0.704118,0.535714,-0.0138404,-0.465014,-1.2916,-1.0679,-0.669282,-1.43634,-1.20394,-1.48947,-2.2034,-7.82139,6.68294,-0.572422,-0.703923,-0.259904,-1.21326,-1.21144,-1.12053,-0.325355,-0.321696,-0.240448,-0.0933588,0.195715,-3.54502,0.0688849,-0.284976,-1.26459,-0.472308,-0.197738,0.137641,-0.0985727,0.0760286,0.572178,0.031119,0.0689816,-0.0121808,-0.492015,-3.04506,0.269326,-1.31681,-0.0717177,1.57302,-1.66714,1.04601,-1.06992,1.1673,0.0361334,1.11517,-1.74559,-0.529636,-0.216075,0.766105,0.730869,0.549136,0.31203,-0.495423,1.14385,-1.90244,-0.370656,0.427838,0.968888,-0.327108,-0.861476,-0.753864,-1.31183,1.0463,-0.0370675,0.0413865,1.36926,0.182801,0.03849,-0.142931,1.50659,2.77929,-3.13604,-0.268844,-0.425182,-0.35205,-2.93429,0.491153,-3.6353,-0.211348,-0.363197,-0.222614,-1.85378,-1.57146,-1.42312,1.05022,1.38462,1.76735,0.767991,1.89063,0.571998,-0.29704,0.970236,-0.0620301,0.926596,0.861707,0.81239,0.42256,0.350991,0.258989,-0.718772,-0.632186,-0.463491,3.20639,2.19918,0.802341,0.0531479,0.404825,-0.0894844,2.09293,0.65521,-1.98984,-0.40853,-0.324875,-0.303166,-0.610758,-0.687662,-0.411845,-0.399838,-0.904447,-0.875257,-5.04751,2.77402,-1.05479,0.048884,0.15413,0.420232,-1.23102,0.431719,-1.53695,0.606654,-0.629372,-2.12719,0.57498,-1.27078,-1.06969,-1.49894,-1.06297,-1.21009,-1.82706,-1.19205,-0.673845,-0.148708,-3.90649,7.14913,0.397866,0.615375,-0.396762,0.321281,1.66673,0.900956,1.04199,0.0413401,0.493259,2.16366,4.02591,0.907103,-0.607381,-0.627837,-0.588622,0.436648,-0.46574,-2.01125,0.403601,0.587016,-0.0340841,-0.152682,-0.447328,0.140747,0.297246,1.33364,2.61894,-0.112578,0.0305166,-0.285921
-0.294005,-0.406214,-0.390159,2.88841,1.12957,0.662634,-0.130623,0.292766,0.364348,-0.224135,-0.878748,-1.57821,-1.21256,-0.484278,-0.597518,-2.62063,-0.51453,-1.61261,-0.37198,-0.300545,-0.152205,-2.69211,0.611016,0.627525,0.136381,-0.3411,-0.375891,-0.259562,-0.23531,-0.429485,0.000627518,-1.36254,-1.98143,-0.720932,-0.583261,-0.886636,-0.444047,-1.65544,-0.259887,-0.310978,-1.96135,2.00018,-0.65205,-0.230332,0.439852,-1.72595,0.314782,-0.987142,-0.673014,-0.407771,-0.591566,-1.39099,0.81515,-2.08343,-0.37172,-0.390287,-0.391327,-0.301879,-0.0780464,0.194113,-1.2331,-1.27981,-1.13539,-0.079547,-0.0690571,-0.174423,-1.16518,-0.989064,-0.749534,-0.452233,-0.0742663,-0.422701,-0.511995,-0.008358,-0.272093,-0.172251,-0.961117,-1.14267,-1.23683,-1.83711,0.450246,0.412202,0.286531,0.129308,0.49545,0.39817,1.05254,-1.07833,0.801657,-0.0244456,-0.368319,-0.518092,-0.753224,-0.0412477,0.00543961,0.405879,-0.782491,-0.0610019,-0.497423,-0.381881,-0.461767,-0.620985,-0.445118,-0.791994,-0.521935,-0.177083,-0.480212,-0.756355,-2.24111,-1.52403,-3.67141,0.171314,-0.458305,0.762331,-0.935224,0.682932,-2.07366,-0.920893,0.213125,-0.481863,0.272103,2.00431,0.776479,-0.166685,2.0385,0.286987,-0.815571,-0.878143,-0.970574,0.468975,0.397758,0.291439,-2.0329,-1.00091,-0.585748,7.03507,-3.57984,10.0161,0.230558,0.858108,-0.131751,0.492291,0.330023,0.853008,-0.214899,-0.307528,-0.333507,-0.182801,-0.697554,-0.601329,0.15725,0.0683546,0.0112297,-0.368627,3.40758,-0.899998,-0.519274,-1.58968,1.93108,-0.285223,0.602501,-0.353195,-0.668385,-1.4484,-1.08985,2.59532,0.78517,-2.11036,-0.923479,-0.248575,-0.255986,-1.98848,-0.859423,-0.65504,2.85226,1.29506,2.03541,0.348836,0.182301,-0.43265,-0.877949,-0.0274938,-1.22825,1.01287,-1.0078,-0.0792431,4.61384,0.474017,-2.38528,-0.0351384,-0.0210688,0.0198834,-0.854553,-0.0619841,-1.12365,-0.175022,1.84102,-1.1153,1.48424,-3.43939,1.31937,0.981772,0.770928,3.20392,-1.27451,2.41473,-1.94596
-0.21804,-0.27552,-0.233474,0.535064,0.554058,1.0858,0.453048,0.948037,0.71347,0.436136,0.275847,0.124416,-0.485585,-0.705806,-0.36371,-1.27909,-0.659699,-0.196166,-0.396998,-0.295914,-0.498885,0.916117,2.31303,-0.0369182,-0.280053,-0.907363,-0.793039,0.452318,0.446481,-0.753155,-0.748416,-0.459493,1.14073,-0.535317,-0.805977,0.20452,1.05157,-0.356066,-0.33769,1.19151,1.27079,1.24095,-0.296496,-0.111387,-0.260148,-1.74697,-0.231708,1.10371,0.389938,0.184075,-0.312884,6.2139,-4.81678,2.37306,-1.00356,-0.26844,-0.658315,-1.47674,-1.48302,-1.49592,0.496853,0.32983,0.125677,-0.184231,-0.154,-0.279779,-1.3102,-2.56594,-1.64917,-2.72053,-1.72312,-1.7809,-0.898626,-1.12739,-0.10859,-1.90922,-1.41508,0.947863,0.770992,-0.697386,0.288175,1.19239,1.10089,0.876412,0.129688,0.369837,0.824124,0.205041,-0.183619,0.0128104,-0.484301,-0.461092,-0.203262,-1.30374,-1.53921,-1.49947,-1.16632,-0.878588,0.254017,-1.12642,-1.20909,-1.25295,-1.52641,2.75117,-1.5551,-1.20991,-1.79829,-1.20628,0.672184,0.65242,-0.697978,0.19438,1.0965,0.682634,-0.0532046,-1.99537,-0.333222,1.37578,1.87116,1.68078,2.25441,2.93136,1.05381,-0.75042,-0.151124,-0.785544,2.68662,2.76477,2.89827,0.254584,0.234517,0.20218,-7.91158,-1.3392,7.57488,0.0327656,-0.142578,-0.573429,0.820317,-0.817926,0.0206347,-1.26997,0.881451,0.801486,-0.524505,-0.189139,-0.747196,0.346044,-0.443509,-0.633571,-1.23155,-1.14907,-1.52614,-4.04251,0.412908,-2.79667,1.55306,1.39413,-0.92015,-0.670499,-0.984731,-0.58143,-1.48983,-0.052214,0.654528,-1.16849,-2.24267,-1.48878,0.125684,0.333599,-0.240773,-1.41821,-2.12638,-1.41028,4.83118,1.54351,-0.842391,0.101069,0.251924,1.03918,1.35107,0.90465,0.254941,0.353959,0.418282,-0.0103471,5.66621,0.417251,-3.44646,0.678203,1.11184,1.13732,0.148516,0.0939775,1.39478,0.451268,-0.510958,0.4537,-0.703406,-0.0921124,-0.0543062,-1.38226,0.391965,0.416086,-0.225682,0.0285717,-0.0724461
-0.625642,-0.594577,-0.502411,0.866623,1.08026,1.38101,-0.265333,2.91367,-1.39569,0.0273214,-0.183999,-0.224688,-0.505692,-1.16355,-0.372955,-1.81897,-0.826181,0.886743,-0.562874,-0.517804,-0.720648,0.517483,1.30661,0.155533,-0.442196,-0.939341,-0.751519,0.145762,1.04184,-1.08483,-1.02054,-2.0596,1.73139,-0.325448,-0.840017,0.267073,-0.706678,-1.16563,-1.21963,0.4318,0.468924,0.360253,-0.195172,-0.0509187,-0.151027,-1.54271,-0.20631,0.28586,-0.141898,-0.0862981,-0.47343,2.4266,-1.33098,1.18442,-1.76323,-0.458956,-0.903639,-1.28055,-1.29073,-1.31019,0.677883,0.549135,0.390224,-0.340186,-0.157446,-0.347583,-0.0997952,0.545105,-0.315175,-2.07145,-0.95353,-1.17092,-0.515918,-1.26535,-0.311625,-1.26004,-1.46065,-0.427904,2.24707,-3.69906,-0.486,0.169632,0.549513,0.327629,0.347325,0.303543,1.19348,1.46461,0.552045,0.900368,-0.544507,-0.524487,-0.318875,-0.283521,-0.098854,-0.557397,-1.8423,-0.806693,2.34858,-0.743098,-0.687466,-0.82526,0.138653,1.01439,0.692949,-1.79911,-2.23846,-2.20272,-0.180796,-0.660045,-2.03792,-1.23149,1.56488,0.401813,0.478161,-1.26669,0.281585,2.43652,3.19906,2.81385,2.51674,3.25752,2.02588,-0.826544,0.591394,-1.43653,2.05605,2.15936,2.30079,0.329517,0.298019,0.257141,-3.28051,1.80551,5.7314,-1.6592,-1.74637,-2.18856,0.797363,-0.00851807,0.418711,-1.07375,1.35661,-0.384408,-0.629766,0.248326,-0.698264,-1.11426,-0.623382,-1.19921,-1.03679,-0.974728,-1.38139,-2.94645,-0.570341,-0.443446,1.06331,1.07012,0.0891608,-0.502154,0.409497,-0.584658,-1.98023,-1.12641,-0.921558,-0.451516,-0.341383,-1.1954,-0.446363,-0.0335612,-0.288455,-1.24661,-2.54623,-1.45838,3.62842,3.19187,-1.94324,-0.353482,0.0827662,0.576337,0.727067,-0.120968,0.0970149,-0.0539552,-0.532339,-0.441197,7.25593,0.872807,-2.84067,0.216304,0.663415,0.885665,0.232482,0.639234,0.161163,0.888015,0.423691,-0.319849,-0.319012,-0.0315083,0.137408,-0.72619,1.7397,-0.161613,0.926021,0.80006,0.523262
-5.24022,1.09204,3.94241,1.0172,1.15197,0.986247,1.50085,0.272848,1.34331,0.326529,0.57333,-0.136698,-0.443798,-0.404143,-0.492362,-2.07708,-1.17823,-1.36341,-0.650135,-0.253468,-0.254849,-0.76038,-1.33626,0.329249,-0.548895,-0.483885,-0.667429,-0.682909,-0.243782,-1.36272,0.481792,1.15193,-0.00258716,-0.870876,-0.34334,-0.577106,-0.488237,2.16029,-0.490525,2.28355,2.68759,0.674453,-0.642813,-0.647535,-0.461495,-1.87199,-0.256466,-2.48771,-1.38653,-0.461676,-0.687632,0.646659,-0.0619639,-1.81894,-0.28357,-1.17595,0.0394403,0.120801,0.242937,0.404999,-0.218572,-0.137722,-0.0481495,0.0500158,-0.173686,-0.00828563,-0.425774,-0.377277,-0.464961,-0.760586,-0.644013,-0.544788,-0.126064,-0.264158,-0.126043,1.99975,2.2448,-4.87266,-0.105917,0.883909,0.692544,-0.275403,0.117439,0.382981,0.0506439,0.214921,-0.211854,-0.417066,0.100106,-0.319151,-0.326991,-0.347542,-0.370831,3.03126,-1.14159,2.66811,-9.60011,-4.07967,-5.48939,0.122693,0.453301,-0.229196,-0.263946,-0.189531,-0.210462,0.189639,0.824828,1.62895,0.817779,0.570235,2.47253,0.238308,-0.0902304,0.453874,-1.53636,-1.38502,-2.67028,-1.49812,-1.51567,-1.78706,0.383736,0.91816,0.280849,-0.391796,-1.0458,0.050876,-0.851648,-2.77155,-3.57261,0.329357,-0.051171,-0.0255078,-0.934862,-0.39272,-2.39778,4.30338,3.41747,3.75488,0.178831,0.587466,0.0135323,0.935374,-0.748098,0.440285,-0.428359,-0.811006,-0.42686,-1.04534,-0.710856,-0.83405,-1.37593,-1.53165,-1.31703,-2.52582,-0.729868,-2.44786,-0.122828,0.392028,0.534535,-0.42278,0.865861,-0.996881,0.0376086,0.0999041,-0.360891,-1.11189,-0.648833,-0.423512,-0.864167,-1.21176,-0.9542,-0.876032,0.139751,1.57713,-2.12078,-2.65323,-1.12951,2.75469,-0.309967,-0.569584,-1.25272,-0.938719,-0.610832,-0.156623,0.373646,0.267386,0.312809,1.70536,4.1377,-3.16181,-1.10828,-2.47723,-0.104568,-0.130706,-0.607113,-2.46122,-4.3064,-2.11732,0.887763,-1.14537,-1.63266,0.565537,0.650411,0.905763,1.2051,1.24776,1.60982
-0.0140588,0.313256,0.756126,-1.34158,-0.953974,-0.844669,1.08295,0.446224,0.704595,0.691369,0.151804,0.481614,-0.353417,-0.563878,-0.358367,-1.7959,-0.0345009,1.07451,-0.327512,-0.565919,-0.51794,0.445474,1.62435,0.646447,0.138894,-0.46908,-0.203429,0.330049,0.848529,2.4137,-0.965917,-0.681718,-0.626187,-0.155641,-0.469557,-0.53505,-1.4811,-2.03125,-0.767985,-0.183051,-0.664752,-0.19378,-0.18753,-0.407623,-0.508893,-0.901553,-1.30554,-1.50916,-0.660732,-0.354707,-0.459896,-1.36947,0.224211,-0.84585,-0.441326,0.218632,-0.467875,-0.518875,-0.677651,-1.01798,10.6621,3.24667,4.60747,-0.241625,-0.159955,-0.111154,-2.08292,-2.10899,-2.14138,-0.654467,-0.636344,-0.534638,-0.457225,-0.960409,0.663568,-0.600549,-0.902179,-0.434081,0.0328364,0.181871,0.0270503,1.60395,2.71276,-0.227067,0.944198,-0.41087,1.70121,0.119719,0.056268,0.522304,-0.434993,-1.03517,-1.39818,-0.5158,0.0829863,-0.230089,-0.922735,-1.51659,-0.965612,-0.93442,-4.08775,-1.91029,1.06638,-0.521001,2.80517,0.0796747,0.682631,0.823225,-0.769777,-0.680265,-0.889448,-0.71159,-0.819338,-1.36714,0.0896834,0.312617,1.33343,-3.22445,2.75513,-0.893557,-0.557583,-0.184763,-0.0891851,0.27302,-1.39853,-0.453912,2.31355,2.02956,2.1871,0.259439,0.317134,0.191793,1.09224,-0.321959,1.92166,-2.61642,-2.69419,-2.7216,-0.850536,-1.00863,-0.94204,-3.32905,1.81509,-1.35217,-0.186053,-0.293618,-0.395313,-2.49602,-3.49315,-1.28756,-0.956435,-0.662355,-1.54084,0.286778,-1.63271,0.093658,0.937429,-0.739658,0.650884,-0.792368,-0.827569,-0.903134,-2.13143,-1.59232,1.1871,1.22557,0.684353,0.083597,-0.512105,0.15338,-0.117219,1.37694,2.69928,-0.288737,1.89087,2.28093,1.97095,1.62838,2.20447,1.9356,0.926305,0.670214,0.405861,-2.72819,-5.82379,0.289577,1.91783,3.02806,-2.73664,0.54866,0.643911,-0.214234,0.0914591,-0.142898,-0.273798,0.841037,4.07648,1.90511,0.24613,0.87866,1.27754,-0.0991879,-0.190238,-0.577559,1.52359,-2.63013,-0.68368
-1.27415,-1.17616,-1.10499,0.318639,0.0702041,-0.0310375,1.08533,1.05711,1.18231,0.733838,-0.246329,0.0331797,-0.692744,-0.887478,-0.608971,0.677095,-0.37444,0.743673,-0.628526,-0.462199,-0.568306,1.28586,1.18974,0.783239,-0.635649,-0.758633,-0.340478,-0.125696,1.39374,2.72006,0.125595,0.0768156,0.527016,-0.634405,-0.921344,-0.474548,-0.59169,-1.24444,-0.109347,0.241601,-0.190941,0.0248234,-0.229277,-0.528424,-0.272871,-0.491672,-0.878858,-0.922513,-0.661072,-0.622417,-0.639463,2.04418,1.32691,-0.359021,-0.797003,-0.612124,-0.51083,-0.0778127,-0.237638,-0.17959,1.36307,1.18973,1.69924,-0.050135,0.406321,0.149089,-1.73295,-1.50552,-1.88588,-0.85933,-0.917351,-0.894133,0.593659,0.690983,1.21476,-0.344946,-0.481484,0.168481,1.10361,-0.110563,-0.441517,-2.42806,2.53591,2.38083,0.723627,-1.16571,0.713571,-0.704063,0.283741,-1.96352,-0.322438,-1.11083,-1.83133,-1.06069,-0.328529,-0.501438,-1.75343,-1.84716,-1.56888,-0.338695,-2.68565,-1.96085,-2.30254,0.31421,1.01405,0.443582,0.982321,0.30468,-1.16806,-1.88778,-1.31695,0.169327,-0.500376,-0.492672,1.66783,2.84703,3.42556,-1.15808,-0.517957,-0.892609,-0.576016,-0.296345,-0.142756,1.52726,-0.770639,-2.68869,0.997347,1.35407,1.48407,0.0670298,0.246868,0.387873,-0.0254464,0.364888,2.5785,-1.46567,-1.49543,-1.55556,0.0530748,-0.914085,-0.800229,-2.32056,1.77122,-2.32811,-0.893187,-0.983584,-1.16759,-1.85958,-2.55228,-0.641872,-0.508811,-0.187613,-1.1221,-1.36575,-1.42237,-1.36735,1.05051,-0.288508,0.258891,-0.789793,-0.46067,-0.622021,-1.22637,-0.791355,-0.476611,0.984458,0.435584,0.0119661,-0.887826,-1.02428,-0.822881,-1.14719,-0.0765875,0.455997,0.431245,1.26202,1.99592,1.88256,1.96109,1.83014,0.809091,0.59133,0.415586,0.250663,1.10631,0.898626,1.64968,3.05015,0.168181,0.363635,0.0622376,-0.0625161,0.435231,0.252014,-0.0852982,1.43181,2.40656,1.81412,0.94207,0.753054,0.827535,-0.715517,-0.379406,-0.729641,1.93758,0.951536,0.963043
0.530845,11.5064,-0.594835,3.12633,-0.239097,1.17493,0.450253,0.0275909,-0.615523,0.472548,0.422757,-0.04064,0.00857921,-0.218601,-0.681409,-3.01978,-1.65874,-0.452564,0.240084,-0.245996,-0.0627321,-0.730749,-0.0471221,-1.35696,-0.350357,-0.310277,-0.218283,-0.972535,-0.607326,0.965447,-0.152216,0.0514239,-0.352346,-0.346052,-1.03002,-0.827563,-0.32942,0.0337652,-0.995766,-0.183168,0.642531,-0.475809,-1.15164,-0.195368,-0.0226115,-2.78692,-2.97141,-1.53604,0.532206,-0.666714,0.162121,-0.614581,-1.75237,0.391996,-0.141677,-0.190636,-0.276824,-0.676256,-0.272471,-0.323077,-3.21935,1.1933,-1.61002,-0.297603,-0.825493,-0.441337,-0.626579,0.101887,0.559213,-1.59394,-1.82378,-1.19795,-0.44838,-0.479981,-0.807926,0.0175884,-0.142263,-0.469589,2.04903,-0.437172,4.88181,3.57457,-0.345037,-2.63582,-0.633162,0.274154,0.302904,-0.0520791,-0.272608,0.295272,-0.889819,-0.927238,-0.338211,2.15927,2.2071,2.35195,-0.963259,-0.228849,-1.01686,-2.78007,0.570108,-0.119154,-0.819432,-1.23126,1.02161,1.42519,-5.12354,-7.05498,-0.565131,-0.276985,-0.281859,-0.0880232,1.07762,-0.895116,-1.06632,-1.20343,-1.55031,0.870049,0.921782,0.202121,1.31686,1.68516,2.08044,1.72968,-2.10376,0.0446444,-2.43224,-2.47638,-1.83497,0.371915,0.331884,0.244899,-0.249638,-0.28138,-1.51178,-1.11006,1.77851,2.19629,0.603784,-0.749603,-0.283088,-3.47236,-3.77616,1.77129,-1.92384,0.0977612,-0.998533,-0.572234,-0.235198,-0.796088,-0.749377,-1.27206,-0.916295,-1.1099,-1.15175,-1.67456,5.82679,1.10803,2.61588,-0.8001,-0.734079,-0.680184,-0.645886,-1.07318,-1.92725,-2.17994,-1.29971,-1.3478,-0.743385,-1.1637,-1.08044,-1.07362,-4.04898,0.726107,-2.51799,-1.31849,-1.56319,2.09612,1.55109,0.823391,2.16801,-0.53073,5.09421,1.0098,-1.04766,4.1648,-1.43524,-1.83035,0.365678,-1.32791,-1.07538,-1.46871,-1.06022,-0.885719,-0.288806,0.260221,-0.38892,-0.488791,-0.316188,-1.68063,-1.90651,-5.10451,-1.41977,1.60242,-0.562645,-0.313489,0.110776
