i,mean,sd,q05,q50,q95,neff,rhat,skill,skill_name
1,-0.0990326,0.604764,-1.33226,-0.0252258,0.951309,448.175,1.00677,1,Maths
2,-0.443736,0.723796,-1.37259,-0.69808,0.969931,5.46734,1.08725,2,Number
3,-0.201474,0.608547,-1.45425,0.200119,0.200504,1.73178,1.42369,3,Calculator Use
4,-2.21769,0.639388,-2.80984,-2.7577,-1.17173,1.09869,3.00766,4,Decimals
5,-4.47959,2.23713,-6.70647,-3.15987,-1.90659,1.01429,13.2935,5,"Factors, Multiples and Primes"
6,-4.63322,2.71652,-7.33824,-3.40801,-1.52062,1.01395,13.8903,6,"Fractions, Decimals and Percentage Equivalence"
7,-3.04428,0.801797,-3.79944,-3.79901,-1.86055,1.07966,3.39588,7,Fractions
8,-1.98491,0.357843,-2.2865,-2.28616,-1.35315,1.23249,2.05988,8,"Indices, Powers and Roots"
9,-7.28241,4.93657,-12.2108,-3.58332,-2.01793,1.011,28.3273,9,Negative Numbers
10,-0.935871,0.562383,-2.0373,-0.469786,-0.469346,1.2573,1.98369,10,Percentages
11,-3.06898,1.03607,-4.06358,-3.38143,-1.58891,1.05487,4.11201,11,Proportion
12,-3.14353,1.39288,-4.51782,-2.95914,-1.39287,1.02397,7.25813,12,Ratio
13,-1.03805,0.534488,-1.82404,-1.18303,-0.0145699,17.6383,1.0485,13,Surds
14,0.612605,1.00498,-1.42963,1.21986,1.55428,1.96679,1.32626,14,Algebra
15,-2.48916,0.576527,-2.99135,-2.99106,-1.49861,1.18695,2.277,15,Straight Line Graphs
16,-1.35304,0.33675,-2.03759,-1.20383,-0.976923,3.63996,1.1496,16,Quadratic Graphs
17,-4.26774,2.39359,-6.64758,-3.07177,-1.47184,1.01571,11.4513,17,Inequalities
18,-3.98115,2.34799,-6.31752,-2.9898,-1.28516,1.01475,12.5569,18,Sequences
19,-8.07317,5.63781,-13.7004,-3.50041,-1.99999,1.01128,25.0028,19,Writing and Simplifying Expressions
20,-1.00781,0.667776,-2.34076,-0.646097,-0.36792,2.4293,1.24331,20,Transformation of Functions
21,0.573323,0.868404,-1.08623,0.992044,1.38128,2.93341,1.18156,21,Geometry and Measure
22,-6.4867,4.5339,-11.0125,-2.81486,-1.64205,1.01121,25.9117,22,Angles
23,-3.28571,1.43934,-4.70156,-2.95115,-1.42907,1.02747,6.52597,23,Circles
24,-1.09699,0.927223,-2.57791,-0.230575,-0.230199,1.08811,3.20817,24,Compound Measures
25,-1.75769,0.427305,-2.06543,-2.06524,-0.942939,1.53643,1.55785,25,Co-ordinates
26,-2.50927,0.60319,-3.02183,-3.02134,-1.43244,1.22377,2.11184,26,"Construction, Loci and Scale Drawing"
27,-1.0338,0.331919,-1.72758,-0.843331,-0.728488,2.17838,1.28302,27,Symmetry
28,-3.06338,1.32273,-4.34347,-3.28482,-1.18557,1.04598,4.58544,28,Basic Trigonometry
29,-2.49342,0.823167,-3.28057,-3.14495,-1.27866,1.06033,3.9233,29,Units of Measurement
30,-0.654319,0.645772,-1.9899,-0.210148,-0.209866,1.61448,1.48393,30,Basic Vectors
31,-2.65078,0.846036,-3.45287,-2.76706,-1.35595,1.07112,3.59351,31,Volume and Surface Area
32,-0.0855733,0.834401,-0.961572,-0.506644,1.69832,2.67497,1.20331,32,Data and Statistics
33,-1.18138,0.361871,-1.67006,-1.29948,-0.476463,8.11815,1.07433,33,Data Collection
