i,mean,sd,q05,q50,q95,neff,rhat
1,-0.0527217,0.716042,-0.748986,-0.367997,1.36364,3.57839,1.14602
2,-0.025659,0.755971,-0.822905,-0.435032,1.55826,2.36022,1.24274
3,0.129584,0.66233,-0.396051,-0.247199,1.44247,2.20372,1.27703
4,0.520599,0.781556,-1.09397,0.810753,1.53201,4.78564,1.09888
5,0.165039,0.924474,-1.77298,0.604101,1.29497,3.00184,1.17469
6,-0.399667,0.735392,-1.45968,-0.615786,1.0805,9.20552,1.05848
7,-0.298006,0.626369,-1.34167,-0.428542,0.940391,49.9599,1.02912
8,-0.0156509,0.857414,-1.72987,0.450603,0.788575,2.41096,1.24589
9,0.485278,1.00966,-1.39818,1.15101,1.23731,1.71176,1.42052
10,-0.819327,1.15725,-1.83742,-1.83718,1.24842,1.16588,2.35843
11,0.210118,0.588744,-0.735602,0.0849073,1.29632,36.0257,1.02771
12,-0.0306646,0.78133,-1.25278,-0.235516,1.64755,11.5547,1.04508
13,0.830298,0.844119,-0.778442,1.4309,1.43154,1.53715,1.53675
14,0.0340845,0.66585,-1.27382,0.0630925,1.221,848.694,1.00052
15,-0.00475614,0.785503,-1.07884,-0.304019,1.62851,4.81699,1.10441
16,-0.334015,0.760015,-1.88665,0.0496685,0.513223,2.68407,1.20394
17,-0.328022,0.633625,-1.35509,-0.381619,0.793327,732.198,1.0017
18,0.814813,0.902678,-1.0322,1.46436,1.46462,1.51699,1.55742
19,-0.791223,0.89207,-1.6105,-1.26882,1.06082,2.48682,1.23593
20,0.540164,0.687215,-0.851856,0.973987,1.18081,1.84608,1.37028
21,-0.287086,0.61333,-1.51965,-0.123575,0.602918,15.1301,1.04843
22,0.133442,0.643345,-1.15293,0.185579,1.34919,1666.89,1.00132
23,-1.25966,1.41874,-2.54056,-2.31517,1.05522,1.12989,2.62836
24,-0.490524,0.68817,-1.21427,-0.845639,0.990136,2.59888,1.21549
25,0.103154,0.632701,-0.871725,0.0591572,1.27689,1666.89,0.99991
26,0.335327,0.875689,-1.4833,0.826893,1.18414,2.23675,1.26821
27,0.746808,0.898386,-1.1077,1.38332,1.38354,1.54267,1.52749
28,-0.122909,0.683464,-1.40254,-0.0926879,1.02383,1331.91,0.998016
29,0.588475,0.56601,-0.243208,0.50467,1.75168,278.403,1.01442
30,-0.527193,0.644158,-1.47881,-0.68255,0.801944,14.4419,1.04033
31,-1.1342,1.51277,-2.47372,-2.17472,1.35472,1.15796,2.41539
32,0.443699,0.887799,-1.16531,1.17232,1.17255,1.27151,1.93509
33,0.548974,1.01303,-1.60425,1.13814,1.42645,2.09359,1.29568
34,0.572379,0.732746,-1.03161,0.839542,1.65212,5.50332,1.09433
35,-0.215124,0.793902,-1.25689,-0.55371,1.34106,3.79635,1.1356
36,-1.39276,1.32238,-2.53217,-2.53166,1.00408,1.19934,2.19934
37,-0.311604,0.755589,-0.914772,-0.80095,1.1874,1.79965,1.39915
38,0.330399,0.745262,-1.14556,0.566644,1.40943,7.15761,1.06924
39,0.0537619,0.634478,-1.16975,0.198488,1.03987,30.1917,1.03257
40,0.843204,0.865131,-0.72979,1.50694,1.5071,1.39144,1.70548
