gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.192249,0.724602,0.951592,5.83826,0.983918
0.188318,0.71694,1.04972,5.83297,0.984181
0.189096,0.718668,0.997073,5.83316,0.990396
0.190708,0.755895,1.02696,5.83584,0.982723
0.192289,0.728701,0.867833,5.82856,0.995494
0.194234,0.712296,0.951412,5.82693,0.986538
0.199765,0.728559,1.04205,5.83273,0.988363
0.194377,0.730346,0.925165,5.82877,0.984065
0.197587,0.736672,1.00895,5.84345,0.98867
0.194523,0.712521,0.983364,5.82982,0.980283
0.195941,0.726802,0.910474,5.837,0.988119
0.190896,0.727546,0.95027,5.83291,0.99646
0.192127,0.723154,0.902294,5.83712,0.990153
0.198746,0.737304,0.930305,5.83617,0.995093
0.189541,0.737617,0.951749,5.83436,0.984307
0.188136,0.735064,0.994628,5.83622,0.996931
0.191185,0.73495,0.917385,5.83707,0.989734
0.18105,0.72024,0.920349,5.82804,0.992713
0.195291,0.737505,0.856351,5.83341,0.98686
0.189693,0.719229,0.913849,5.83234,0.98568
0.199203,0.729129,0.929191,5.83017,0.989553
0.195198,0.729293,0.951788,5.84306,0.986788
0.198407,0.72367,0.872471,5.82794,0.983486
0.18879,0.730219,0.969925,5.83941,0.990527
0.185982,0.732421,0.856966,5.82883,0.983556
0.194069,0.727368,0.941389,5.82996,0.986574
0.191357,0.729873,0.916956,5.83143,0.987616
0.190294,0.736568,0.867411,5.82615,0.990006
0.194322,0.735358,0.994882,5.83207,0.989198
0.194456,0.740964,0.866437,5.83405,0.986874
0.195185,0.734259,0.888389,5.8315,0.987842
0.199972,0.725428,1.0072,5.83379,0.988088
0.192362,0.731362,1.01276,5.82791,0.9882
0.18694,0.719903,0.973672,5.83565,0.986939
0.187703,0.726558,1.01022,5.84059,0.987043
0.19326,0.724159,0.978217,5.83386,0.993223
0.192473,0.707716,0.878466,5.82914,0.986286
0.193007,0.724266,0.910923,5.82798,0.988432
0.190006,0.719896,1.00349,5.83137,0.989393
0.191344,0.717904,0.967172,5.82766,0.988168
0.189672,0.722927,0.961116,5.83358,0.990491
0.203006,0.724351,0.865516,5.83515,0.985252
0.195174,0.742662,0.87616,5.8435,0.990719
0.193982,0.710492,0.881904,5.83206,0.994973
0.195144,0.718263,1.0487,5.82327,0.993441
0.191858,0.704612,0.797739,5.84088,0.987159
0.193347,0.72847,1.05833,5.83314,0.991799
0.186505,0.737813,0.963104,5.82508,0.988205
0.190102,0.720699,0.875403,5.83627,0.99183
0.186153,0.717568,0.87183,5.83007,0.988164
0.195152,0.728208,0.907182,5.83416,0.981827
0.19156,0.734544,0.932174,5.8377,0.991496
0.186947,0.735263,0.907358,5.83836,0.983635
0.192046,0.73262,1.01603,5.83648,0.987856
0.194625,0.733969,1.0263,5.82995,0.995293
0.192387,0.755793,0.89851,5.82772,0.988809
0.197336,0.731894,0.96051,5.83295,0.988418
0.194118,0.715332,0.939149,5.83515,0.98418
0.192885,0.72748,0.935605,5.82115,0.98304
0.187071,0.727973,0.93443,5.83789,0.987349
0.191308,0.732239,0.878561,5.8324,0.98558
0.196209,0.726841,1.06047,5.83095,0.990325
0.193578,0.718771,0.999175,5.83529,0.982158
0.194849,0.7174,0.942706,5.84095,0.98916
0.19375,0.730033,0.941763,5.84626,0.991999
0.19162,0.723819,0.937978,5.83647,0.986706
0.187723,0.716667,0.913197,5.82829,0.984423
0.197261,0.722746,0.929354,5.83462,0.989965
0.192962,0.728807,0.958439,5.82567,0.985294
0.189558,0.718349,1.00803,5.83012,0.988107
0.197409,0.730537,0.938671,5.83753,0.985501
0.195089,0.722811,0.902206,5.83721,0.983194
0.194884,0.72921,0.823347,5.83306,0.987657
0.195072,0.716827,0.944083,5.83306,0.98947
0.195164,0.732146,0.988839,5.82649,0.988324
0.192051,0.722413,0.937849,5.83152,0.979597
0.193605,0.736131,0.889588,5.83476,0.981474
0.192418,0.730261,0.947036,5.83379,0.988473
0.191955,0.706326,0.899594,5.8272,0.989207
0.192872,0.709664,0.895155,5.8381,0.983405
0.192774,0.719254,0.959463,5.82448,0.981478
0.196231,0.719921,0.934072,5.82937,0.984424
0.194393,0.729817,1.02029,5.82886,0.989442
0.194088,0.73888,0.937471,5.83485,0.986525
0.196989,0.738552,0.973011,5.82414,0.991384
0.19656,0.734024,0.95511,5.83652,0.983708
0.184122,0.736128,0.912275,5.83208,0.982979
0.192526,0.709887,0.940273,5.82386,0.987687
0.194951,0.730214,0.968751,5.8232,0.983996
0.192982,0.730439,0.934348,5.84017,0.997386
